Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference,Scouting Report 1,Scouting Report 2,Scouting Report 3,Scouting Report 4,Scouting Report 5,Scouting Report 6,Scouting Report 7,Scouting Report 8
Giorgi Mamardashvili,ge GEO,GK,Valencia,20.0,2000.0,18,18,1620,18.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/d4b73232/,https://fbref.com/en/players/d4b73232/scout/365_euro/Giorgi-Mamardashvili-Scouting-Report,https://fbref.com/en/players/d4b73232/scout/11174/Giorgi-Mamardashvili-Scouting-Report,,,,,,
Reinildo Mandava,mz MOZ,DF,Atlético Madrid,27.0,1994.0,17,15,1298,14.4,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.02,0.01,0.02,0.02,0.02,https://fbref.com/en/players/c20bdcd7/,https://fbref.com/en/players/c20bdcd7/scout/365_euro/Reinildo-Mandava-Scouting-Report,https://fbref.com/en/players/c20bdcd7/scout/11174/Reinildo-Mandava-Scouting-Report,https://fbref.com/en/players/c20bdcd7/scout/11183/Reinildo-Mandava-Scouting-Report,https://fbref.com/en/players/c20bdcd7/scout/10732/Reinildo-Mandava-Scouting-Report,https://fbref.com/en/players/c20bdcd7/scout/3243/Reinildo-Mandava-Scouting-Report,,,
Aïssa Mandi,dz ALG,DF,Villarreal,29.0,1991.0,17,14,1375,15.3,1,0,1,0,0,3,0,0.07,0.0,0.07,0.07,0.07,1.9,1.9,0.0,1.9,0.12,0.0,0.12,0.12,0.12,https://fbref.com/en/players/fbd6378b/,https://fbref.com/en/players/fbd6378b/scout/365_euro/Aissa-Mandi-Scouting-Report,https://fbref.com/en/players/fbd6378b/scout/11174/Aissa-Mandi-Scouting-Report,https://fbref.com/en/players/fbd6378b/scout/10731/Aissa-Mandi-Scouting-Report,https://fbref.com/en/players/fbd6378b/scout/3239/Aissa-Mandi-Scouting-Report,https://fbref.com/en/players/fbd6378b/scout/1886/Aissa-Mandi-Scouting-Report,https://fbref.com/en/players/fbd6378b/scout/1652/Aissa-Mandi-Scouting-Report,,
Maranhão,br BRA,FWMF,Valencia,24.0,1996.0,29,8,973,10.8,1,3,1,0,0,3,0,0.09,0.28,0.37,0.09,0.37,3.5,3.5,1.4,4.9,0.33,0.13,0.45,0.33,0.45,https://fbref.com/en/players/ae86d473/,https://fbref.com/en/players/ae86d473/scout/365_euro/Maranhao-Scouting-Report,https://fbref.com/en/players/ae86d473/scout/11174/Maranhao-Scouting-Report,https://fbref.com/en/players/ae86d473/scout/10731/Maranhao-Scouting-Report,,,,,
Nikola Maraš,rs SRB,DF,Rayo Vallecano,25.0,1995.0,16,11,1044,11.6,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,https://fbref.com/en/players/b9d0446f/,https://fbref.com/en/players/b9d0446f/scout/365_euro/Nikola-Maras-Scouting-Report,https://fbref.com/en/players/b9d0446f/scout/11174/Nikola-Maras-Scouting-Report,,,,,,
Marcelo,br BRA,DF,Real Madrid,33.0,1988.0,11,4,442,4.9,0,2,0,0,0,0,0,0.0,0.41,0.41,0.0,0.41,0.3,0.3,0.6,0.9,0.05,0.1,0.15,0.05,0.15,https://fbref.com/en/players/603116a7/,https://fbref.com/en/players/603116a7/scout/365_euro/Marcelo-Scouting-Report,https://fbref.com/en/players/603116a7/scout/11174/Marcelo-Scouting-Report,https://fbref.com/en/players/603116a7/scout/10731/Marcelo-Scouting-Report,https://fbref.com/en/players/603116a7/scout/3239/Marcelo-Scouting-Report,https://fbref.com/en/players/603116a7/scout/1886/Marcelo-Scouting-Report,https://fbref.com/en/players/603116a7/scout/1652/Marcelo-Scouting-Report,,
Iván Marcone,ar ARG,MF,Elche,31.0,1990.0,20,10,809,9.0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,https://fbref.com/en/players/b14f755d/,https://fbref.com/en/players/b14f755d/scout/365_euro/Ivan-Marcone-Scouting-Report,https://fbref.com/en/players/b14f755d/scout/11174/Ivan-Marcone-Scouting-Report,https://fbref.com/en/players/b14f755d/scout/10731/Ivan-Marcone-Scouting-Report,,,,,
Óscar de Marcos,es ESP,DF,Athletic Club,32.0,1989.0,22,19,1679,18.7,1,2,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16,0.2,0.2,1.6,1.8,0.01,0.08,0.1,0.01,0.1,https://fbref.com/en/players/9f323c71/,https://fbref.com/en/players/9f323c71/scout/365_euro/Oscar-de-Marcos-Scouting-Report,https://fbref.com/en/players/9f323c71/scout/11174/Oscar-de-Marcos-Scouting-Report,https://fbref.com/en/players/9f323c71/scout/10731/Oscar-de-Marcos-Scouting-Report,https://fbref.com/en/players/9f323c71/scout/3239/Oscar-de-Marcos-Scouting-Report,https://fbref.com/en/players/9f323c71/scout/1886/Oscar-de-Marcos-Scouting-Report,https://fbref.com/en/players/9f323c71/scout/1652/Oscar-de-Marcos-Scouting-Report,,
José Mari,es ESP,MF,Cádiz,33.0,1987.0,11,4,386,4.3,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.08,0.0,0.08,0.08,0.08,https://fbref.com/en/players/6f4c734d/,https://fbref.com/en/players/6f4c734d/scout/10731/Jose-Mari-Scouting-Report,,,,,,,
José María Giménez,uy URU,DF,Atlético Madrid,26.0,1995.0,24,24,2042,22.7,1,1,1,0,0,7,0,0.04,0.04,0.09,0.04,0.09,1.2,1.2,0.1,1.3,0.05,0.0,0.06,0.05,0.06,https://fbref.com/en/players/f0da930c/,https://fbref.com/en/players/f0da930c/scout/365_euro/Jose-Maria-Gimenez-Scouting-Report,https://fbref.com/en/players/f0da930c/scout/11174/Jose-Maria-Gimenez-Scouting-Report,https://fbref.com/en/players/f0da930c/scout/10731/Jose-Maria-Gimenez-Scouting-Report,https://fbref.com/en/players/f0da930c/scout/3239/Jose-Maria-Gimenez-Scouting-Report,https://fbref.com/en/players/f0da930c/scout/1886/Jose-Maria-Gimenez-Scouting-Report,https://fbref.com/en/players/f0da930c/scout/1652/Jose-Maria-Gimenez-Scouting-Report,,
