Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference
Mark Noble,ENG,MF,West Ham,35-003,1987,9,3,308,3.4,1,0,0,1,2,0,0,0.29,0.0,0.29,0.0,0.0,1.5,0.0,0.2,0.2,0.44,0.06,0.5,0.0,0.06,https://fbref.com/en/players/ff527768/
Mathias Normann,NOR,MF,Norwich City,25-348,1996,21,18,1486,16.5,1,2,1,0,0,4,0,0.06,0.12,0.18,0.06,0.18,0.8,0.8,1.4,2.2,0.05,0.08,0.13,0.05,0.13,https://fbref.com/en/players/8996350d/
Christian Nørgaard,DEN,MF,Brentford,28-062,1994,34,34,2964,32.9,3,3,3,0,0,7,0,0.09,0.09,0.18,0.09,0.18,3.2,3.2,3.0,6.3,0.1,0.09,0.19,0.1,0.19,https://fbref.com/en/players/df0a4c90/
Angelo Ogbonna,ITA,DF,West Ham,33-353,1988,11,11,921,10.2,1,0,1,0,0,1,0,0.1,0.0,0.1,0.1,0.1,0.3,0.3,0.0,0.3,0.03,0.0,0.03,0.03,0.03,https://fbref.com/en/players/74b2cd7e/
Michael Olise,FRA,FWMF,Crystal Palace,20-150,2001,26,12,1141,12.7,2,5,2,0,0,4,0,0.16,0.39,0.55,0.16,0.55,1.4,1.4,3.6,5.0,0.11,0.28,0.39,0.11,0.39,https://fbref.com/en/players/c4486bac/
Andrew Omobamidele,IRL,DF,Norwich City,19-322,2002,5,4,382,4.2,1,0,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24,0.3,0.3,0.0,0.3,0.08,0.0,0.08,0.08,0.08,https://fbref.com/en/players/c393a6c4/
Tyler Onyango,ENG,MFFW,Everton,19-068,2003,3,0,28,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,https://fbref.com/en/players/d86a1f3e/
Frank Onyeka,NGA,MF,Brentford,24-130,1998,20,12,1045,11.6,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.2,1.3,0.1,0.02,0.11,0.1,0.11,https://fbref.com/en/players/2944f86f/
Divock Origi,BEL,FW,Liverpool,27-023,1995,6,0,107,1.2,3,0,3,0,0,0,0,2.52,0.0,2.52,2.52,2.52,1.6,1.6,0.0,1.6,1.35,0.0,1.35,1.35,1.35,https://fbref.com/en/players/43a166b4/
Alex Oxlade-Chamberlain,ENG,MFFW,Liverpool,28-269,1993,17,9,785,8.7,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,1.2,1.2,0.9,2.1,0.14,0.11,0.24,0.14,0.24,https://fbref.com/en/players/38c7feef/
Cole Palmer,ENG,FWMF,Manchester City,20-005,2002,4,1,123,1.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,0.23,0.17,0.39,0.23,0.39,https://fbref.com/en/players/dc7f8a28/
Emerson Palmieri,ITA,DF,Chelsea,27-281,1994,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/e0bc6fdc/
Thomas Partey,GHA,MF,Arsenal,28-332,1993,24,23,2028,22.5,2,1,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13,2.5,2.5,1.3,3.8,0.11,0.06,0.17,0.11,0.17,https://fbref.com/en/players/529f49ab/
João Pedro,BRA,FWMF,Watford,20-227,2001,25,12,1374,15.3,2,1,2,0,0,1,0,0.13,0.07,0.2,0.13,0.2,2.9,2.9,2.6,5.5,0.19,0.17,0.36,0.19,0.36,https://fbref.com/en/players/e8832875/
Nicolas Pépé,CIV,FWMF,Arsenal,26-347,1995,18,5,665,7.4,1,1,1,0,0,0,0,0.14,0.14,0.27,0.14,0.27,2.9,2.9,1.6,4.5,0.39,0.22,0.61,0.39,0.61,https://fbref.com/en/players/57e3f0c7/
Ricardo Pereira,POR,DF,Leicester City,28-217,1993,13,13,970,10.8,1,2,1,0,0,3,0,0.09,0.19,0.28,0.09,0.28,0.7,0.7,1.2,1.9,0.06,0.11,0.17,0.06,0.17,https://fbref.com/en/players/75a72a99/
Ayoze Pérez,ESP,MFFW,Leicester City,28-292,1993,12,6,404,4.5,0,3,0,0,0,0,1,0.0,0.67,0.67,0.0,0.67,1.1,1.1,0.8,2.0,0.25,0.19,0.44,0.25,0.44,https://fbref.com/en/players/819aa8e7/
Sonny Perkins,ENG,FW,West Ham,18-090,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/87f12e30/
Romain Perraud,FRA,DF,Southampton,24-231,1997,20,18,1623,18.0,0,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,0.9,0.9,0.6,1.6,0.05,0.04,0.09,0.05,0.09,https://fbref.com/en/players/6dfd8f05/
Kalvin Phillips,ENG,MF,Leeds United,26-160,1995,17,15,1326,14.7,0,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,0.6,0.6,0.2,0.8,0.04,0.01,0.05,0.04,0.05,https://fbref.com/en/players/4f565d77/
Jaden Philogene Bidace,ENG,FW,Aston Villa,19-358,2002,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/19f4d211/
Jordan Pickford,ENG,GK,Everton,28-065,1994,32,32,2880,32.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/4806ec67/
Erik Pieters,NED,DF,Burnley,33-277,1988,12,8,730,8.1,0,1,0,0,0,1,0,0.0,0.12,0.12,0.0,0.12,0.2,0.2,0.8,1.0,0.02,0.1,0.13,0.02,0.13,https://fbref.com/en/players/1ef37668/
Ethan Pinnock,JAM,DF,Brentford,28-347,1993,32,32,2694,29.9,1,1,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,1.5,1.5,1.2,2.8,0.05,0.04,0.09,0.05,0.09,https://fbref.com/en/players/e541326e/
Daniel Podence,POR,FWMF,Wolves,26-202,1995,25,15,1468,16.3,2,3,2,0,0,2,0,0.12,0.18,0.31,0.12,0.31,1.9,1.9,3.8,5.7,0.12,0.23,0.35,0.12,0.35,https://fbref.com/en/players/7fcc71d8/
Paul Pogba,FRA,MFFW,Manchester Utd,29-057,1993,20,16,1349,15.0,1,9,1,0,0,7,1,0.07,0.6,0.67,0.07,0.67,2.4,2.4,3.5,6.0,0.16,0.24,0.4,0.16,0.4,https://fbref.com/en/players/867239d3/
Nick Pope,ENG,GK,Burnley,30-022,1992,33,33,2970,33.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.01,0.01,0.0,0.01,https://fbref.com/en/players/4b40d9ca/
Teemu Pukki,FIN,FW,Norwich City,32-043,1990,34,34,2983,33.1,10,3,7,3,3,4,0,0.3,0.09,0.39,0.21,0.3,9.6,7.3,2.7,10.1,0.29,0.08,0.37,0.22,0.3,https://fbref.com/en/players/0745b37d/
Christian Pulisic,USA,MFFW,Chelsea,23-235,1998,20,11,1142,12.7,5,2,5,0,0,2,0,0.39,0.16,0.55,0.39,0.55,4.3,4.3,1.1,5.3,0.34,0.08,0.42,0.34,0.42,https://fbref.com/en/players/1bf33a9a/
Przemysław Płacheta,POL,FWMF,Norwich City,24-049,1998,11,6,480,5.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.7,1.3,0.1,0.14,0.24,0.1,0.24,https://fbref.com/en/players/3c33f9d9/
Jesuran Rak Sakyi,ENG,MF,Crystal Palace,19-218,2002,1,0,14,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/45685411/
Aaron Ramsdale,ENG,GK,Arsenal,23-362,1998,31,31,2790,31.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/466fb2c5/
Jacob Ramsey,ENG,MF,Aston Villa,20-348,2001,31,27,2289,25.4,6,1,6,0,0,6,0,0.24,0.04,0.28,0.24,0.28,3.8,3.8,2.0,5.7,0.15,0.08,0.23,0.15,0.23,https://fbref.com/en/players/1544f145/
