Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference,Scouting Report 1,Scouting Report 2,Scouting Report 3,Scouting Report 4,Scouting Report 5,Scouting Report 6,Scouting Report 7,Scouting Report 8
Dele Alli,ENG,MF,Everton,26-030,1996,9,0,227,2.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.03,0.1,0.13,0.03,0.13,https://fbref.com/en/players/cea4ee8f/,https://fbref.com/en/players/cea4ee8f/scout/365_euro/Dele-Alli-Scouting-Report,https://fbref.com/en/players/cea4ee8f/scout/11160/Dele-Alli-Scouting-Report,https://fbref.com/en/players/cea4ee8f/scout/10728/Dele-Alli-Scouting-Report,https://fbref.com/en/players/cea4ee8f/scout/3232/Dele-Alli-Scouting-Report,https://fbref.com/en/players/cea4ee8f/scout/1889/Dele-Alli-Scouting-Report,https://fbref.com/en/players/cea4ee8f/scout/1631/Dele-Alli-Scouting-Report,,
Dele Alli,ENG,MFFW,Tottenham,26-030,1996,10,8,657,7.3,1,0,0,1,1,1,0,0.14,0.0,0.14,0.0,0.0,1.5,0.7,0.8,1.5,0.2,0.11,0.31,0.1,0.21,https://fbref.com/en/players/cea4ee8f/,https://fbref.com/en/players/cea4ee8f/scout/365_euro/Dele-Alli-Scouting-Report,https://fbref.com/en/players/cea4ee8f/scout/11160/Dele-Alli-Scouting-Report,https://fbref.com/en/players/cea4ee8f/scout/10728/Dele-Alli-Scouting-Report,https://fbref.com/en/players/cea4ee8f/scout/3232/Dele-Alli-Scouting-Report,https://fbref.com/en/players/cea4ee8f/scout/1889/Dele-Alli-Scouting-Report,https://fbref.com/en/players/cea4ee8f/scout/1631/Dele-Alli-Scouting-Report,,
Miguel Almirón,PAR,MFFW,Newcastle Utd,28-090,1994,28,17,1553,17.3,1,0,1,0,0,2,0,0.06,0.0,0.06,0.06,0.06,2.0,2.0,0.6,2.6,0.11,0.04,0.15,0.11,0.15,https://fbref.com/en/players/862a1c15/,https://fbref.com/en/players/862a1c15/scout/365_euro/Miguel-Almiron-Scouting-Report,https://fbref.com/en/players/862a1c15/scout/11160/Miguel-Almiron-Scouting-Report,https://fbref.com/en/players/862a1c15/scout/10728/Miguel-Almiron-Scouting-Report,https://fbref.com/en/players/862a1c15/scout/3232/Miguel-Almiron-Scouting-Report,https://fbref.com/en/players/862a1c15/scout/1889/Miguel-Almiron-Scouting-Report,https://fbref.com/en/players/862a1c15/scout/1759/Miguel-Almiron-Scouting-Report,,
Marcos Alonso,ESP,DF,Chelsea,31-134,1990,26,23,1987,22.1,3,4,3,0,0,8,0,0.14,0.18,0.32,0.14,0.32,3.2,3.2,4.3,7.5,0.14,0.19,0.34,0.14,0.34,https://fbref.com/en/players/f4290206/,https://fbref.com/en/players/f4290206/scout/365_euro/Marcos-Alonso-Scouting-Report,https://fbref.com/en/players/f4290206/scout/11160/Marcos-Alonso-Scouting-Report,https://fbref.com/en/players/f4290206/scout/10728/Marcos-Alonso-Scouting-Report,https://fbref.com/en/players/f4290206/scout/3232/Marcos-Alonso-Scouting-Report,https://fbref.com/en/players/f4290206/scout/1889/Marcos-Alonso-Scouting-Report,https://fbref.com/en/players/f4290206/scout/1631/Marcos-Alonso-Scouting-Report,,
Steven Alzate,COL,MF,Brighton,23-245,1998,9,5,404,4.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06,https://fbref.com/en/players/ad1f61f3/,https://fbref.com/en/players/ad1f61f3/scout/10728/Steven-Alzate-Scouting-Report,https://fbref.com/en/players/ad1f61f3/scout/3232/Steven-Alzate-Scouting-Report,,,,,,
Daniel Amartey,GHA,DF,Leicester City,27-141,1994,24,21,1900,21.1,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.01,0.01,0.0,0.01,https://fbref.com/en/players/1a4ef233/,https://fbref.com/en/players/1a4ef233/scout/365_euro/Daniel-Amartey-Scouting-Report,https://fbref.com/en/players/1a4ef233/scout/11160/Daniel-Amartey-Scouting-Report,https://fbref.com/en/players/1a4ef233/scout/10728/Daniel-Amartey-Scouting-Report,https://fbref.com/en/players/1a4ef233/scout/1889/Daniel-Amartey-Scouting-Report,https://fbref.com/en/players/1a4ef233/scout/1631/Daniel-Amartey-Scouting-Report,,,
Joachim Andersen,DEN,DF,Crystal Palace,25-345,1996,31,29,2646,29.4,0,3,0,0,0,4,0,0.0,0.1,0.1,0.0,0.1,0.5,0.5,1.8,2.4,0.02,0.06,0.08,0.02,0.08,https://fbref.com/en/players/e34fc66d/,https://fbref.com/en/players/e34fc66d/scout/365_euro/Joachim-Andersen-Scouting-Report,https://fbref.com/en/players/e34fc66d/scout/11160/Joachim-Andersen-Scouting-Report,https://fbref.com/en/players/e34fc66d/scout/10728/Joachim-Andersen-Scouting-Report,https://fbref.com/en/players/e34fc66d/scout/3243/Joachim-Andersen-Scouting-Report,https://fbref.com/en/players/e34fc66d/scout/1896/Joachim-Andersen-Scouting-Report,https://fbref.com/en/players/e34fc66d/scout/1640/Joachim-Andersen-Scouting-Report,,
Michail Antonio,JAM,FW,West Ham,32-044,1990,34,32,2792,31.0,9,7,9,0,1,8,1,0.29,0.23,0.52,0.29,0.52,10.9,10.6,6.5,17.1,0.35,0.21,0.56,0.34,0.55,https://fbref.com/en/players/ac05f970/,https://fbref.com/en/players/ac05f970/scout/365_euro/Michail-Antonio-Scouting-Report,https://fbref.com/en/players/ac05f970/scout/11160/Michail-Antonio-Scouting-Report,https://fbref.com/en/players/ac05f970/scout/10728/Michail-Antonio-Scouting-Report,https://fbref.com/en/players/ac05f970/scout/3232/Michail-Antonio-Scouting-Report,https://fbref.com/en/players/ac05f970/scout/1889/Michail-Antonio-Scouting-Report,https://fbref.com/en/players/ac05f970/scout/1631/Michail-Antonio-Scouting-Report,,
Cameron Archer,ENG,MFFW,Aston Villa,20-294,2001,3,0,27,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,https://fbref.com/en/players/05e8ca6d/,https://fbref.com/en/players/05e8ca6d/all_comps/Cameron-Archer-Stats---All-Competitions,https://fbref.com/en/players/05e8ca6d/dom_lg/Cameron-Archer-Domestic-League-Stats,https://fbref.com/en/players/05e8ca6d/dom_cup/Cameron-Archer-Domestic-Cup-Stats,,,,,
Alphonse Areola,FRA,GK,West Ham,29-073,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/2f965a72/,https://fbref.com/en/players/2f965a72/scout/365_euro/Alphonse-Areola-Scouting-Report,https://fbref.com/en/players/2f965a72/scout/10728/Alphonse-Areola-Scouting-Report,https://fbref.com/en/players/2f965a72/scout/2104/Alphonse-Areola-Scouting-Report,https://fbref.com/en/players/2f965a72/scout/1632/Alphonse-Areola-Scouting-Report,,,,
Adam Armstrong,ENG,FWMF,Southampton,25-090,1997,22,16,1351,15.0,2,2,2,0,0,1,0,0.13,0.13,0.27,0.13,0.27,4.2,4.2,1.7,5.9,0.28,0.11,0.39,0.28,0.39,https://fbref.com/en/players/68c720b5/,https://fbref.com/en/players/68c720b5/scout/365_euro/Adam-Armstrong-Scouting-Report,https://fbref.com/en/players/68c720b5/scout/11160/Adam-Armstrong-Scouting-Report,,,,,,
Stuart Armstrong,SCO,MF,Southampton,30-042,1992,23,14,1363,15.1,2,0,2,0,0,1,0,0.13,0.0,0.13,0.13,0.13,2.8,2.8,1.3,4.1,0.18,0.09,0.27,0.18,0.27,https://fbref.com/en/players/97333cf5/,https://fbref.com/en/players/97333cf5/scout/365_euro/Stuart-Armstrong-Scouting-Report,https://fbref.com/en/players/97333cf5/scout/11160/Stuart-Armstrong-Scouting-Report,https://fbref.com/en/players/97333cf5/scout/10728/Stuart-Armstrong-Scouting-Report,https://fbref.com/en/players/97333cf5/scout/3232/Stuart-Armstrong-Scouting-Report,https://fbref.com/en/players/97333cf5/scout/1889/Stuart-Armstrong-Scouting-Report,,,
Kepa Arrizabalaga,ESP,GK,Chelsea,27-220,1994,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/28d596a0/,https://fbref.com/en/players/28d596a0/scout/365_euro/Kepa-Arrizabalaga-Scouting-Report,https://fbref.com/en/players/28d596a0/scout/10728/Kepa-Arrizabalaga-Scouting-Report,https://fbref.com/en/players/28d596a0/scout/3232/Kepa-Arrizabalaga-Scouting-Report,https://fbref.com/en/players/28d596a0/scout/1889/Kepa-Arrizabalaga-Scouting-Report,https://fbref.com/en/players/28d596a0/scout/1652/Kepa-Arrizabalaga-Scouting-Report,,,
Harrison Ashby,SCO,DF,West Ham,20-178,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/b391383a/,https://fbref.com/en/players/b391383a/all_comps/Harrison-Ashby-Stats---All-Competitions,https://fbref.com/en/players/b391383a/dom_lg/Harrison-Ashby-Domestic-League-Stats,https://fbref.com/en/players/b391383a/dom_cup/Harrison-Ashby-Domestic-Cup-Stats,https://fbref.com/en/players/b391383a/intl_cup/Harrison-Ashby-International-Cup-Stats,,,,
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,32-327,1989,14,12,1037,11.5,4,1,4,0,2,3,0,0.35,0.09,0.43,0.35,0.43,5.8,4.1,0.8,5.0,0.5,0.07,0.57,0.36,0.43,https://fbref.com/en/players/d5dd5f1f/,https://fbref.com/en/players/d5dd5f1f/scout/365_euro/Pierre-Emerick-Aubameyang-Scouting-Report,https://fbref.com/en/players/d5dd5f1f/scout/11160/Pierre-Emerick-Aubameyang-Scouting-Report,https://fbref.com/en/players/d5dd5f1f/scout/11174/Pierre-Emerick-Aubameyang-Scouting-Report,https://fbref.com/en/players/d5dd5f1f/scout/10728/Pierre-Emerick-Aubameyang-Scouting-Report,https://fbref.com/en/players/d5dd5f1f/scout/3232/Pierre-Emerick-Aubameyang-Scouting-Report,https://fbref.com/en/players/d5dd5f1f/scout/1889/Pierre-Emerick-Aubameyang-Scouting-Report,https://fbref.com/en/players/d5dd5f1f/scout/1631/Pierre-Emerick-Aubameyang-Scouting-Report,https://fbref.com/en/players/d5dd5f1f/scout/1634/Pierre-Emerick-Aubameyang-Scouting-Report
Jordan Ayew,GHA,FW,Crystal Palace,30-242,1991,30,22,1929,21.4,2,3,2,0,0,1,0,0.09,0.14,0.23,0.09,0.23,3.0,3.0,2.3,5.3,0.14,0.11,0.25,0.14,0.25,https://fbref.com/en/players/da052c14/,https://fbref.com/en/players/da052c14/scout/365_euro/Jordan-Ayew-Scouting-Report,https://fbref.com/en/players/da052c14/scout/11160/Jordan-Ayew-Scouting-Report,https://fbref.com/en/players/da052c14/scout/10728/Jordan-Ayew-Scouting-Report,https://fbref.com/en/players/da052c14/scout/3232/Jordan-Ayew-Scouting-Report,https://fbref.com/en/players/da052c14/scout/1889/Jordan-Ayew-Scouting-Report,https://fbref.com/en/players/da052c14/scout/1631/Jordan-Ayew-Scouting-Report,,
Luke Ayling,ENG,DF,Leeds United,30-259,1991,26,26,2272,25.2,2,2,2,0,0,4,1,0.08,0.08,0.16,0.08,0.16,1.6,1.6,0.8,2.4,0.06,0.03,0.1,0.06,0.1,https://fbref.com/en/players/420d7c7d/,https://fbref.com/en/players/420d7c7d/scout/365_euro/Luke-Ayling-Scouting-Report,https://fbref.com/en/players/420d7c7d/scout/11160/Luke-Ayling-Scouting-Report,https://fbref.com/en/players/420d7c7d/scout/10728/Luke-Ayling-Scouting-Report,,,,,
César Azpilicueta,ESP,DF,Chelsea,32-256,1989,24,23,1948,21.6,1,2,1,0,0,3,0,0.05,0.09,0.14,0.05,0.14,1.2,1.2,2.1,3.3,0.05,0.1,0.15,0.05,0.15,https://fbref.com/en/players/53cad200/,https://fbref.com/en/players/53cad200/scout/365_euro/Cesar-Azpilicueta-Scouting-Report,https://fbref.com/en/players/53cad200/scout/11160/Cesar-Azpilicueta-Scouting-Report,https://fbref.com/en/players/53cad200/scout/10728/Cesar-Azpilicueta-Scouting-Report,https://fbref.com/en/players/53cad200/scout/3232/Cesar-Azpilicueta-Scouting-Report,https://fbref.com/en/players/53cad200/scout/1889/Cesar-Azpilicueta-Scouting-Report,https://fbref.com/en/players/53cad200/scout/1631/Cesar-Azpilicueta-Scouting-Report,,
Daniel Bachmann,AUT,GK,Watford,27-306,1994,11,11,990,11.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/1c0eea98/,https://fbref.com/en/players/1c0eea98/scout/365_euro/Daniel-Bachmann-Scouting-Report,https://fbref.com/en/players/1c0eea98/scout/11160/Daniel-Bachmann-Scouting-Report,,,,,,
Leon Bailey,JAM,FWMF,Aston Villa,24-275,1997,18,7,761,8.5,1,2,1,0,0,3,0,0.12,0.24,0.35,0.12,0.35,1.6,1.6,0.6,2.2,0.19,0.07,0.26,0.19,0.26,https://fbref.com/en/players/3a233281/,https://fbref.com/en/players/3a233281/scout/365_euro/Leon-Bailey-Scouting-Report,https://fbref.com/en/players/3a233281/scout/11160/Leon-Bailey-Scouting-Report,https://fbref.com/en/players/3a233281/scout/10737/Leon-Bailey-Scouting-Report,https://fbref.com/en/players/3a233281/scout/3248/Leon-Bailey-Scouting-Report,https://fbref.com/en/players/3a233281/scout/2109/Leon-Bailey-Scouting-Report,https://fbref.com/en/players/3a233281/scout/1634/Leon-Bailey-Scouting-Report,,
Eric Bailly,CIV,DF,Manchester Utd,28-029,1994,4,3,217,2.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/a1232f4e/,https://fbref.com/en/players/a1232f4e/scout/10728/Eric-Bailly-Scouting-Report,https://fbref.com/en/players/a1232f4e/scout/1889/Eric-Bailly-Scouting-Report,https://fbref.com/en/players/a1232f4e/scout/1631/Eric-Bailly-Scouting-Report,,,,,
Folarin Balogun,ENG,FW,Arsenal,20-312,2001,2,1,70,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.35,0.0,0.35,0.35,0.35,https://fbref.com/en/players/31822f8c/,https://fbref.com/en/players/31822f8c/all_comps/Folarin-Balogun-Stats---All-Competitions,https://fbref.com/en/players/31822f8c/dom_lg/Folarin-Balogun-Domestic-League-Stats,https://fbref.com/en/players/31822f8c/dom_cup/Folarin-Balogun-Domestic-Cup-Stats,https://fbref.com/en/players/31822f8c/intl_cup/Folarin-Balogun-International-Cup-Stats,,,,
Patrick Bamford,ENG,FW,Leeds United,28-248,1993,9,7,559,6.2,2,2,2,0,0,2,0,0.32,0.32,0.64,0.32,0.64,3.9,3.9,1.0,4.9,0.63,0.15,0.78,0.63,0.78,https://fbref.com/en/players/93feac6e/,https://fbref.com/en/players/93feac6e/scout/365_euro/Patrick-Bamford-Scouting-Report,https://fbref.com/en/players/93feac6e/scout/11160/Patrick-Bamford-Scouting-Report,https://fbref.com/en/players/93feac6e/scout/10728/Patrick-Bamford-Scouting-Report,,,,,
Shandon Baptiste,GRN,MF,Brentford,24-033,1998,21,9,890,9.9,1,1,1,0,0,2,1,0.1,0.1,0.2,0.1,0.2,0.7,0.7,0.5,1.2,0.07,0.05,0.12,0.07,0.12,https://fbref.com/en/players/2886c9b5/,https://fbref.com/en/players/2886c9b5/scout/365_euro/Shandon-Baptiste-Scouting-Report,https://fbref.com/en/players/2886c9b5/scout/11160/Shandon-Baptiste-Scouting-Report,,,,,,
Ross Barkley,ENG,MF,Chelsea,28-157,1993,5,1,154,1.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.5,1.4,0.48,0.32,0.8,0.48,0.8,https://fbref.com/en/players/3a24769f/,https://fbref.com/en/players/3a24769f/scout/10728/Ross-Barkley-Scouting-Report,https://fbref.com/en/players/3a24769f/scout/3232/Ross-Barkley-Scouting-Report,https://fbref.com/en/players/3a24769f/scout/1889/Ross-Barkley-Scouting-Report,,,,,
Ashley Barnes,ENG,FW,Burnley,32-193,1989,20,5,571,6.3,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.0,1.9,0.14,0.16,0.3,0.14,0.3,https://fbref.com/en/players/2691c772/,https://fbref.com/en/players/2691c772/scout/365_euro/Ashley-Barnes-Scouting-Report,https://fbref.com/en/players/2691c772/scout/11160/Ashley-Barnes-Scouting-Report,https://fbref.com/en/players/2691c772/scout/10728/Ashley-Barnes-Scouting-Report,https://fbref.com/en/players/2691c772/scout/3232/Ashley-Barnes-Scouting-Report,https://fbref.com/en/players/2691c772/scout/1889/Ashley-Barnes-Scouting-Report,https://fbref.com/en/players/2691c772/scout/1631/Ashley-Barnes-Scouting-Report,,
Harvey Barnes,ENG,FWMF,Leicester City,24-153,1997,28,21,1817,20.2,4,6,4,0,0,2,0,0.2,0.3,0.5,0.2,0.5,5.9,5.9,2.7,8.6,0.29,0.13,0.42,0.29,0.42,https://fbref.com/en/players/3ea50f67/,https://fbref.com/en/players/3ea50f67/scout/365_euro/Harvey-Barnes-Scouting-Report,https://fbref.com/en/players/3ea50f67/scout/11160/Harvey-Barnes-Scouting-Report,https://fbref.com/en/players/3ea50f67/scout/10728/Harvey-Barnes-Scouting-Report,https://fbref.com/en/players/3ea50f67/scout/3232/Harvey-Barnes-Scouting-Report,https://fbref.com/en/players/3ea50f67/scout/1889/Harvey-Barnes-Scouting-Report,,,
Lewis Bate,ENG,MF,Leeds United,19-194,2002,2,0,88,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/cd4256d3/,https://fbref.com/en/players/cd4256d3/all_comps/Lewis-Bate-Stats---All-Competitions,https://fbref.com/en/players/cd4256d3/dom_lg/Lewis-Bate-Domestic-League-Stats,https://fbref.com/en/players/cd4256d3/dom_cup/Lewis-Bate-Domestic-Cup-Stats,,,,,
Mads Bech Sørensen,DEN,DF,Brentford,23-124,1999,9,7,720,8.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.01,0.04,0.05,0.01,0.05,https://fbref.com/en/players/30db8574/,https://fbref.com/en/players/30db8574/scout/365_euro/Mads-Bech-Sorensen-Scouting-Report,https://fbref.com/en/players/30db8574/scout/11160/Mads-Bech-Sorensen-Scouting-Report,,,,,,
Jan Bednarek,POL,DF,Southampton,26-029,1996,31,30,2629,29.2,4,0,4,0,0,10,0,0.14,0.0,0.14,0.14,0.14,2.4,2.4,0.6,3.0,0.08,0.02,0.1,0.08,0.1,https://fbref.com/en/players/4115ce4e/,https://fbref.com/en/players/4115ce4e/scout/365_euro/Jan-Bednarek-Scouting-Report,https://fbref.com/en/players/4115ce4e/scout/11160/Jan-Bednarek-Scouting-Report,https://fbref.com/en/players/4115ce4e/scout/10728/Jan-Bednarek-Scouting-Report,https://fbref.com/en/players/4115ce4e/scout/3232/Jan-Bednarek-Scouting-Report,https://fbref.com/en/players/4115ce4e/scout/1889/Jan-Bednarek-Scouting-Report,,,
Donny van de Beek,NED,MF,Everton,25-023,1997,6,5,429,4.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.03,0.01,0.04,0.03,0.04,https://fbref.com/en/players/50dc94ce/,https://fbref.com/en/players/50dc94ce/scout/365_euro/Donny-van-de-Beek-Scouting-Report,https://fbref.com/en/players/50dc94ce/scout/11160/Donny-van-de-Beek-Scouting-Report,https://fbref.com/en/players/50dc94ce/scout/10728/Donny-van-de-Beek-Scouting-Report,,,,,
