Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference,Scouting Report 1,Scouting Report 2,Scouting Report 3,Scouting Report 4,Scouting Report 5,Scouting Report 6,Scouting Report 7
Houssem Aouar,FRA,MFFW,Lyon,23,1998,36,29,2504,27.8,6,4,6,0,0,1,0,0.22,0.14,0.36,0.22,0.36,7.9,7.9,5.1,13.0,0.28,0.18,0.47,0.28,0.47,https://fbref.com/en/players/a5db0bec/,https://fbref.com/en/players/a5db0bec/scout/365_euro/Houssem-Aouar-Scouting-Report,https://fbref.com/en/players/a5db0bec/scout/11183/Houssem-Aouar-Scouting-Report,https://fbref.com/en/players/a5db0bec/scout/10732/Houssem-Aouar-Scouting-Report,https://fbref.com/en/players/a5db0bec/scout/3243/Houssem-Aouar-Scouting-Report,https://fbref.com/en/players/a5db0bec/scout/2104/Houssem-Aouar-Scouting-Report,https://fbref.com/en/players/a5db0bec/scout/1632/Houssem-Aouar-Scouting-Report,
Adil Aouchiche,FRA,MFFW,Saint-Étienne,19,2002,35,11,1081,12.0,0,4,0,0,0,2,0,0.0,0.33,0.33,0.0,0.33,1.4,1.4,1.6,2.9,0.11,0.13,0.24,0.11,0.24,https://fbref.com/en/players/b94b8be1/,https://fbref.com/en/players/b94b8be1/scout/365_euro/Adil-Aouchiche-Scouting-Report,https://fbref.com/en/players/b94b8be1/scout/11183/Adil-Aouchiche-Scouting-Report,https://fbref.com/en/players/b94b8be1/scout/10732/Adil-Aouchiche-Scouting-Report,,,,
Dennis Appiah,FRA,DF,Nantes,29,1992,32,22,2099,23.3,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.0,0.01,0.02,0.0,0.02,https://fbref.com/en/players/feb5d3ab/,https://fbref.com/en/players/feb5d3ab/scout/365_euro/Dennis-Appiah-Scouting-Report,https://fbref.com/en/players/feb5d3ab/scout/11183/Dennis-Appiah-Scouting-Report,https://fbref.com/en/players/feb5d3ab/scout/10732/Dennis-Appiah-Scouting-Report,https://fbref.com/en/players/feb5d3ab/scout/3243/Dennis-Appiah-Scouting-Report,,,
Lorenz Assignon,TOG,DF,Rennes,21,2000,20,5,616,6.8,0,2,0,0,0,0,0,0.0,0.29,0.29,0.0,0.29,0.6,0.6,1.0,1.6,0.09,0.14,0.23,0.09,0.23,https://fbref.com/en/players/b026bbf6/,https://fbref.com/en/players/b026bbf6/scout/365_euro/Lorenz-Assignon-Scouting-Report,https://fbref.com/en/players/b026bbf6/scout/11183/Lorenz-Assignon-Scouting-Report,,,,,
Youcef Atal,ALG,DF,Nice,25,1996,17,13,1140,12.7,2,1,2,0,0,4,0,0.16,0.08,0.24,0.16,0.24,0.9,0.9,1.5,2.4,0.07,0.12,0.19,0.07,0.19,https://fbref.com/en/players/6a827d8e/,https://fbref.com/en/players/6a827d8e/scout/365_euro/Youcef-Atal-Scouting-Report,https://fbref.com/en/players/6a827d8e/scout/11183/Youcef-Atal-Scouting-Report,https://fbref.com/en/players/6a827d8e/scout/10732/Youcef-Atal-Scouting-Report,https://fbref.com/en/players/6a827d8e/scout/3243/Youcef-Atal-Scouting-Report,https://fbref.com/en/players/6a827d8e/scout/2104/Youcef-Atal-Scouting-Report,,
Jean-Kévin Augustin,FRA,FWMF,Nantes,24,1997,7,0,84,0.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.13,0.0,0.13,0.13,0.13,https://fbref.com/en/players/97bfa797/,https://fbref.com/en/players/97bfa797/scout/2109/Jean-Kevin-Augustin-Scouting-Report,https://fbref.com/en/players/97bfa797/scout/1634/Jean-Kevin-Augustin-Scouting-Report,,,,,
Karim Azamoum,FRA,DF,Troyes,31,1990,7,4,388,4.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.0,0.03,0.03,0.03,https://fbref.com/en/players/eaf71a5e/,https://fbref.com/en/players/eaf71a5e/scout/1632/Karim-Azamoum-Scouting-Report,,,,,,
Loïc Bade,FRA,DF,Rennes,21,2000,14,11,985,10.9,0,1,0,0,0,3,1,0.0,0.09,0.09,0.0,0.09,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,https://fbref.com/en/players/114bbdee/,https://fbref.com/en/players/114bbdee/scout/365_euro/Loic-Bade-Scouting-Report,https://fbref.com/en/players/114bbdee/scout/11183/Loic-Bade-Scouting-Report,https://fbref.com/en/players/114bbdee/scout/10732/Loic-Bade-Scouting-Report,,,,
Benoît Badiashile,FRA,DF,Monaco,20,2001,24,21,1838,20.4,1,0,1,0,0,4,0,0.05,0.0,0.05,0.05,0.05,1.5,1.5,0.3,1.9,0.07,0.02,0.09,0.07,0.09,https://fbref.com/en/players/06df8256/,https://fbref.com/en/players/06df8256/scout/365_euro/Benoit-Badiashile-Scouting-Report,https://fbref.com/en/players/06df8256/scout/11183/Benoit-Badiashile-Scouting-Report,https://fbref.com/en/players/06df8256/scout/10732/Benoit-Badiashile-Scouting-Report,https://fbref.com/en/players/06df8256/scout/3243/Benoit-Badiashile-Scouting-Report,https://fbref.com/en/players/06df8256/scout/2104/Benoit-Badiashile-Scouting-Report,,
Youssouph Badji,SEN,FW,Brest,19,2001,9,1,135,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.07,0.12,0.19,0.07,0.19,https://fbref.com/en/players/6a2b9aee/,https://fbref.com/en/players/6a2b9aee/all_comps/Youssouph-Badji-Stats---All-Competitions,https://fbref.com/en/players/6a2b9aee/dom_lg/Youssouph-Badji-Domestic-League-Stats,https://fbref.com/en/players/6a2b9aee/dom_cup/Youssouph-Badji-Domestic-Cup-Stats,https://fbref.com/en/players/6a2b9aee/intl_cup/Youssouph-Badji-International-Cup-Stats,,,
