Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference,Scouting Report 1,Scouting Report 2,Scouting Report 3,Scouting Report 4,Scouting Report 5,Scouting Report 6,Scouting Report 7,Scouting Report 8,Scouting Report 9
Emil Audero,ITA,GK,Sampdoria,24,1997,29,29,2560,28.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.01,0.01,0.0,0.01,https://fbref.com/en/players/649b01d8/,https://fbref.com/en/players/649b01d8/scout/365_euro/Emil-Audero-Scouting-Report,https://fbref.com/en/players/649b01d8/scout/11222/Emil-Audero-Scouting-Report,https://fbref.com/en/players/649b01d8/scout/10730/Emil-Audero-Scouting-Report,https://fbref.com/en/players/649b01d8/scout/3260/Emil-Audero-Scouting-Report,https://fbref.com/en/players/649b01d8/scout/1896/Emil-Audero-Scouting-Report,,,,
Tommaso Augello,ITA,DF,Sampdoria,26,1994,36,25,2395,26.6,1,1,1,0,0,0,0,0.04,0.04,0.08,0.04,0.08,0.4,0.4,1.9,2.3,0.01,0.07,0.09,0.01,0.09,https://fbref.com/en/players/3cd3b384/,https://fbref.com/en/players/3cd3b384/scout/365_euro/Tommaso-Augello-Scouting-Report,https://fbref.com/en/players/3cd3b384/scout/11222/Tommaso-Augello-Scouting-Report,https://fbref.com/en/players/3cd3b384/scout/10730/Tommaso-Augello-Scouting-Report,https://fbref.com/en/players/3cd3b384/scout/3260/Tommaso-Augello-Scouting-Report,,,,,
Ramzi Aya,ITA,DF,Salernitana,30,1990,2,2,135,1.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,https://fbref.com/en/players/6a1f66a7/,https://fbref.com/en/players/6a1f66a7/all_comps/Ramzi-Aya-Stats---All-Competitions,https://fbref.com/en/players/6a1f66a7/dom_lg/Ramzi-Aya-Domestic-League-Stats,https://fbref.com/en/players/6a1f66a7/dom_cup/Ramzi-Aya-Domestic-Cup-Stats,,,,,,
Kaan Ayhan,TUR,DF,Sassuolo,26,1994,23,14,1354,15.0,1,0,1,0,0,2,1,0.07,0.0,0.07,0.07,0.07,0.3,0.3,0.0,0.4,0.02,0.0,0.02,0.02,0.02,https://fbref.com/en/players/2200181e/,https://fbref.com/en/players/2200181e/scout/365_euro/Kaan-Ayhan-Scouting-Report,https://fbref.com/en/players/2200181e/scout/11222/Kaan-Ayhan-Scouting-Report,https://fbref.com/en/players/2200181e/scout/10730/Kaan-Ayhan-Scouting-Report,https://fbref.com/en/players/2200181e/scout/3248/Kaan-Ayhan-Scouting-Report,https://fbref.com/en/players/2200181e/scout/2109/Kaan-Ayhan-Scouting-Report,,,,
Milan Badelj,CRO,MF,Genoa,32,1989,34,34,2844,31.6,1,0,1,0,0,4,0,0.03,0.0,0.03,0.03,0.03,1.2,1.2,2.3,3.5,0.04,0.07,0.11,0.04,0.11,https://fbref.com/en/players/e8c930bb/,https://fbref.com/en/players/e8c930bb/scout/365_euro/Milan-Badelj-Scouting-Report,https://fbref.com/en/players/e8c930bb/scout/11222/Milan-Badelj-Scouting-Report,https://fbref.com/en/players/e8c930bb/scout/10730/Milan-Badelj-Scouting-Report,https://fbref.com/en/players/e8c930bb/scout/3260/Milan-Badelj-Scouting-Report,https://fbref.com/en/players/e8c930bb/scout/1896/Milan-Badelj-Scouting-Report,https://fbref.com/en/players/e8c930bb/scout/1640/Milan-Badelj-Scouting-Report,,,
Nicola Bagnolini,ITA,GK,Bologna,17,2004,1,0,3,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/ad263695/,https://fbref.com/en/players/ad263695/matchlogs/2021-2022/keeper/Nicola-Bagnolini-Match-Logs,,,,,,,,
Issa Bah,LUX,FW,Venezia,19,2002,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/956a78ea/,https://fbref.com/en/players/956a78ea/matchlogs/2021-2022/passing/Issa-Bah-Match-Logs,,,,,,,,
Nedim Bajrami,ALB,MFFW,Empoli,22,1999,35,23,2054,22.8,6,5,3,3,3,3,0,0.26,0.22,0.48,0.13,0.35,6.2,3.9,5.2,9.1,0.27,0.23,0.5,0.17,0.4,https://fbref.com/en/players/f42d6c13/,https://fbref.com/en/players/f42d6c13/scout/365_euro/Nedim-Bajrami-Scouting-Report,https://fbref.com/en/players/f42d6c13/scout/11222/Nedim-Bajrami-Scouting-Report,,,,,,,
Tiemoué Bakayoko,FRA,MF,Milan,26,1994,14,5,501,5.6,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,0.05,0.09,0.15,0.05,0.15,https://fbref.com/en/players/59bf127b/,https://fbref.com/en/players/59bf127b/scout/365_euro/Tiemoue-Bakayoko-Scouting-Report,https://fbref.com/en/players/59bf127b/scout/11222/Tiemoue-Bakayoko-Scouting-Report,https://fbref.com/en/players/59bf127b/scout/10730/Tiemoue-Bakayoko-Scouting-Report,https://fbref.com/en/players/59bf127b/scout/3243/Tiemoue-Bakayoko-Scouting-Report,https://fbref.com/en/players/59bf127b/scout/1896/Tiemoue-Bakayoko-Scouting-Report,https://fbref.com/en/players/59bf127b/scout/1631/Tiemoue-Bakayoko-Scouting-Report,,,
Tommaso Baldanzi,ITA,FW,Empoli,18,2003,1,0,18,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,https://fbref.com/en/players/102e2599/,https://fbref.com/en/players/102e2599/all_comps/Tommaso-Baldanzi-Stats---All-Competitions,https://fbref.com/en/players/102e2599/dom_lg/Tommaso-Baldanzi-Domestic-League-Stats,https://fbref.com/en/players/102e2599/dom_cup/Tommaso-Baldanzi-Domestic-Cup-Stats,,,,,,
Keita Baldé,SEN,FWMF,Cagliari,26,1995,26,14,1229,13.7,3,1,3,0,0,2,0,0.22,0.07,0.29,0.22,0.29,3.2,3.2,1.1,4.2,0.23,0.08,0.31,0.23,0.31,https://fbref.com/en/players/509a4ccb/,https://fbref.com/en/players/509a4ccb/scout/365_euro/Keita-Balde-Scouting-Report,https://fbref.com/en/players/509a4ccb/scout/11222/Keita-Balde-Scouting-Report,https://fbref.com/en/players/509a4ccb/scout/10730/Keita-Balde-Scouting-Report,https://fbref.com/en/players/509a4ccb/scout/3243/Keita-Balde-Scouting-Report,https://fbref.com/en/players/509a4ccb/scout/1896/Keita-Balde-Scouting-Report,https://fbref.com/en/players/509a4ccb/scout/1632/Keita-Balde-Scouting-Report,,,
Fodé Ballo-Touré,SEN,DF,Milan,24,1997,10,5,446,5.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,0.11,0.04,0.15,0.11,0.15,https://fbref.com/en/players/f449640d/,https://fbref.com/en/players/f449640d/scout/365_euro/Fode-Ballo-Toure-Scouting-Report,https://fbref.com/en/players/f449640d/scout/10732/Fode-Ballo-Toure-Scouting-Report,https://fbref.com/en/players/f449640d/scout/3243/Fode-Ballo-Toure-Scouting-Report,https://fbref.com/en/players/f449640d/scout/2104/Fode-Ballo-Toure-Scouting-Report,https://fbref.com/en/players/f449640d/scout/1632/Fode-Ballo-Toure-Scouting-Report,,,,
Filippo Bandinelli,ITA,MF,Empoli,26,1995,35,24,1955,21.7,2,3,2,0,0,10,0,0.09,0.14,0.23,0.09,0.23,2.6,2.6,3.1,5.6,0.12,0.14,0.26,0.12,0.26,https://fbref.com/en/players/d44360be/,https://fbref.com/en/players/d44360be/scout/365_euro/Filippo-Bandinelli-Scouting-Report,https://fbref.com/en/players/d44360be/scout/11222/Filippo-Bandinelli-Scouting-Report,,,,,,,
Mattia Bani,ITA,DF,Genoa,27,1993,17,13,1211,13.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,1.2,0.09,0.0,0.09,0.09,0.09,https://fbref.com/en/players/0821331c/,https://fbref.com/en/players/0821331c/scout/365_euro/Mattia-Bani-Scouting-Report,https://fbref.com/en/players/0821331c/scout/11222/Mattia-Bani-Scouting-Report,https://fbref.com/en/players/0821331c/scout/10730/Mattia-Bani-Scouting-Report,https://fbref.com/en/players/0821331c/scout/3260/Mattia-Bani-Scouting-Report,https://fbref.com/en/players/0821331c/scout/1896/Mattia-Bani-Scouting-Report,https://fbref.com/en/players/0821331c/scout/1640/Mattia-Bani-Scouting-Report,,,
Antonín Barák,CZE,FWMF,Hellas Verona,26,1994,29,27,2340,26.0,11,4,7,4,4,4,0,0.42,0.15,0.58,0.27,0.42,9.5,6.5,3.4,9.8,0.37,0.13,0.5,0.25,0.38,https://fbref.com/en/players/01efac19/,https://fbref.com/en/players/01efac19/scout/365_euro/Antonin-Barak-Scouting-Report,https://fbref.com/en/players/01efac19/scout/11222/Antonin-Barak-Scouting-Report,https://fbref.com/en/players/01efac19/scout/10730/Antonin-Barak-Scouting-Report,https://fbref.com/en/players/01efac19/scout/3260/Antonin-Barak-Scouting-Report,https://fbref.com/en/players/01efac19/scout/1640/Antonin-Barak-Scouting-Report,,,,
Francesco Bardi,ITA,GK,Bologna,29,1992,2,2,177,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/0acda699/,https://fbref.com/en/players/0acda699/matchlogs/2018-2019/misc/Francesco-Bardi-Match-Logs,https://fbref.com/en/players/0acda699/matchlogs/2021-2022/misc/Francesco-Bardi-Match-Logs,,,,,,,
Nicolò Barella,ITA,MF,Inter,24,1997,36,36,2913,32.4,3,11,3,0,0,9,0,0.09,0.34,0.43,0.09,0.43,5.2,5.2,7.9,13.1,0.16,0.24,0.4,0.16,0.4,https://fbref.com/en/players/6928979a/,https://fbref.com/en/players/6928979a/scout/365_euro/Nicolo-Barella-Scouting-Report,https://fbref.com/en/players/6928979a/scout/11222/Nicolo-Barella-Scouting-Report,https://fbref.com/en/players/6928979a/scout/10730/Nicolo-Barella-Scouting-Report,https://fbref.com/en/players/6928979a/scout/3260/Nicolo-Barella-Scouting-Report,https://fbref.com/en/players/6928979a/scout/1896/Nicolo-Barella-Scouting-Report,https://fbref.com/en/players/6928979a/scout/1640/Nicolo-Barella-Scouting-Report,,,
Musa Barrow,GAM,FWMF,Bologna,22,1998,34,25,2134,23.7,6,6,6,0,0,0,0,0.25,0.25,0.51,0.25,0.51,5.4,5.4,4.4,9.8,0.23,0.18,0.41,0.23,0.41,https://fbref.com/en/players/e5bf73f3/,https://fbref.com/en/players/e5bf73f3/scout/365_euro/Musa-Barrow-Scouting-Report,https://fbref.com/en/players/e5bf73f3/scout/11222/Musa-Barrow-Scouting-Report,https://fbref.com/en/players/e5bf73f3/scout/10730/Musa-Barrow-Scouting-Report,https://fbref.com/en/players/e5bf73f3/scout/3260/Musa-Barrow-Scouting-Report,https://fbref.com/en/players/e5bf73f3/scout/1896/Musa-Barrow-Scouting-Report,,,,
Daniele Baselli,ITA,MFFW,Torino,29,1992,6,0,150,1.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.17,0.01,0.18,0.17,0.18,https://fbref.com/en/players/ea06dd97/,https://fbref.com/en/players/ea06dd97/scout/3260/Daniele-Baselli-Scouting-Report,https://fbref.com/en/players/ea06dd97/scout/1896/Daniele-Baselli-Scouting-Report,https://fbref.com/en/players/ea06dd97/scout/1640/Daniele-Baselli-Scouting-Report,,,,,,
