Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference,Scouting Report 1,Scouting Report 2,Scouting Report 3,Scouting Report 4,Scouting Report 5,Scouting Report 6,Scouting Report 7,Scouting Report 8,Scouting Report 9
Sebastiano Luperto,ITA,DF,Empoli,24,1996,24,22,1958,21.8,0,1,0,0,0,8,1,0.0,0.05,0.05,0.0,0.05,0.9,0.9,0.5,1.4,0.04,0.02,0.06,0.04,0.06,https://fbref.com/en/players/997fff07/,https://fbref.com/en/players/997fff07/scout/365_euro/Sebastiano-Luperto-Scouting-Report,https://fbref.com/en/players/997fff07/scout/11222/Sebastiano-Luperto-Scouting-Report,https://fbref.com/en/players/997fff07/scout/10730/Sebastiano-Luperto-Scouting-Report,https://fbref.com/en/players/997fff07/scout/3260/Sebastiano-Luperto-Scouting-Report,https://fbref.com/en/players/997fff07/scout/1896/Sebastiano-Luperto-Scouting-Report,,,,
Charalambos Lykogiannis,GRE,DF,Cagliari,27,1993,28,21,1817,20.2,1,0,1,0,0,2,0,0.05,0.0,0.05,0.05,0.05,1.0,1.0,1.0,2.0,0.05,0.05,0.1,0.05,0.1,https://fbref.com/en/players/5efc5389/,https://fbref.com/en/players/5efc5389/scout/365_euro/Charalambos-Lykogiannis-Scouting-Report,https://fbref.com/en/players/5efc5389/scout/11222/Charalambos-Lykogiannis-Scouting-Report,https://fbref.com/en/players/5efc5389/scout/10730/Charalambos-Lykogiannis-Scouting-Report,https://fbref.com/en/players/5efc5389/scout/3260/Charalambos-Lykogiannis-Scouting-Report,https://fbref.com/en/players/5efc5389/scout/1896/Charalambos-Lykogiannis-Scouting-Report,https://fbref.com/en/players/5efc5389/scout/1640/Charalambos-Lykogiannis-Scouting-Report,,,
Niki Mäenpää,FIN,GK,Venezia,36,1985,17,16,1485,16.5,0,1,0,0,0,1,0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.3,0.3,0.0,0.02,0.02,0.0,0.02,https://fbref.com/en/players/14a96e1c/,https://fbref.com/en/players/14a96e1c/scout/365_euro/Niki-Maenpaa-Scouting-Report,https://fbref.com/en/players/14a96e1c/scout/11222/Niki-Maenpaa-Scouting-Report,,,,,,,
Giulio Maggiore,ITA,MF,Spezia,23,1998,35,33,2819,31.3,2,3,2,0,0,9,0,0.06,0.1,0.16,0.06,0.16,3.3,3.3,2.8,6.0,0.11,0.09,0.19,0.1,0.19,https://fbref.com/en/players/957e4c87/,https://fbref.com/en/players/957e4c87/scout/365_euro/Giulio-Maggiore-Scouting-Report,https://fbref.com/en/players/957e4c87/scout/11222/Giulio-Maggiore-Scouting-Report,https://fbref.com/en/players/957e4c87/scout/10730/Giulio-Maggiore-Scouting-Report,,,,,,
Francesco Magnanelli,ITA,MF,Sassuolo,36,1984,12,2,271,3.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02,https://fbref.com/en/players/07767f42/,https://fbref.com/en/players/07767f42/scout/3260/Francesco-Magnanelli-Scouting-Report,https://fbref.com/en/players/07767f42/scout/1896/Francesco-Magnanelli-Scouting-Report,https://fbref.com/en/players/07767f42/scout/1640/Francesco-Magnanelli-Scouting-Report,,,,,,
Giangiacomo Magnani,ITA,DF,Hellas Verona,25,1995,14,5,530,5.9,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.1,0.0,0.1,0.1,0.1,https://fbref.com/en/players/cce9f582/,https://fbref.com/en/players/cce9f582/scout/365_euro/Giangiacomo-Magnani-Scouting-Report,https://fbref.com/en/players/cce9f582/scout/11222/Giangiacomo-Magnani-Scouting-Report,https://fbref.com/en/players/cce9f582/scout/10730/Giangiacomo-Magnani-Scouting-Report,https://fbref.com/en/players/cce9f582/scout/1896/Giangiacomo-Magnani-Scouting-Report,,,,,
Giangiacomo Magnani,ITA,DF,Sampdoria,25,1995,4,3,239,2.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/cce9f582/,https://fbref.com/en/players/cce9f582/scout/365_euro/Giangiacomo-Magnani-Scouting-Report,https://fbref.com/en/players/cce9f582/scout/11222/Giangiacomo-Magnani-Scouting-Report,https://fbref.com/en/players/cce9f582/scout/10730/Giangiacomo-Magnani-Scouting-Report,https://fbref.com/en/players/cce9f582/scout/1896/Giangiacomo-Magnani-Scouting-Report,,,,,
Mike Maignan,FRA,GK,Milan,26,1995,32,32,2880,32.0,0,1,0,0,0,1,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.4,0.4,0.0,0.01,0.01,0.0,0.01,https://fbref.com/en/players/fcb38f57/,https://fbref.com/en/players/fcb38f57/scout/365_euro/Mike-Maignan-Scouting-Report,https://fbref.com/en/players/fcb38f57/scout/11222/Mike-Maignan-Scouting-Report,https://fbref.com/en/players/fcb38f57/scout/10732/Mike-Maignan-Scouting-Report,https://fbref.com/en/players/fcb38f57/scout/3243/Mike-Maignan-Scouting-Report,https://fbref.com/en/players/fcb38f57/scout/2104/Mike-Maignan-Scouting-Report,https://fbref.com/en/players/fcb38f57/scout/1632/Mike-Maignan-Scouting-Report,,,
Ainsley Maitland-Niles,ENG,DF,Roma,23,1997,8,7,487,5.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.9,0.08,0.08,0.16,0.08,0.16,https://fbref.com/en/players/e3a5814e/,https://fbref.com/en/players/e3a5814e/scout/365_euro/Ainsley-Maitland-Niles-Scouting-Report,https://fbref.com/en/players/e3a5814e/scout/11222/Ainsley-Maitland-Niles-Scouting-Report,https://fbref.com/en/players/e3a5814e/scout/10728/Ainsley-Maitland-Niles-Scouting-Report,https://fbref.com/en/players/e3a5814e/scout/3232/Ainsley-Maitland-Niles-Scouting-Report,https://fbref.com/en/players/e3a5814e/scout/1889/Ainsley-Maitland-Niles-Scouting-Report,https://fbref.com/en/players/e3a5814e/scout/1631/Ainsley-Maitland-Niles-Scouting-Report,,,
Jean-Victor Makengo,FRA,MF,Udinese,23,1998,33,26,2351,26.1,1,3,1,0,0,7,1,0.04,0.11,0.15,0.04,0.15,2.3,2.3,2.0,4.3,0.09,0.08,0.17,0.09,0.17,https://fbref.com/en/players/22bfb57e/,https://fbref.com/en/players/22bfb57e/scout/365_euro/Jean-Victor-Makengo-Scouting-Report,https://fbref.com/en/players/22bfb57e/scout/11222/Jean-Victor-Makengo-Scouting-Report,https://fbref.com/en/players/22bfb57e/scout/10730/Jean-Victor-Makengo-Scouting-Report,https://fbref.com/en/players/22bfb57e/scout/3243/Jean-Victor-Makengo-Scouting-Report,https://fbref.com/en/players/22bfb57e/scout/2104/Jean-Victor-Makengo-Scouting-Report,,,,
Nikola Maksimović,SRB,DF,Genoa,29,1991,14,13,1115,12.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.01,0.01,0.02,0.01,0.02,https://fbref.com/en/players/16b9d5cf/,https://fbref.com/en/players/16b9d5cf/scout/365_euro/Nikola-Maksimovic-Scouting-Report,https://fbref.com/en/players/16b9d5cf/scout/11222/Nikola-Maksimovic-Scouting-Report,https://fbref.com/en/players/16b9d5cf/scout/10730/Nikola-Maksimovic-Scouting-Report,https://fbref.com/en/players/16b9d5cf/scout/3260/Nikola-Maksimovic-Scouting-Report,https://fbref.com/en/players/16b9d5cf/scout/1896/Nikola-Maksimovic-Scouting-Report,,,,
Kévin Malcuit,MAR,DF,Napoli,30,1991,8,2,288,3.2,0,1,0,0,0,3,0,0.0,0.31,0.31,0.0,0.31,0.1,0.1,0.4,0.5,0.02,0.13,0.15,0.02,0.15,https://fbref.com/en/players/d6a889ea/,https://fbref.com/en/players/d6a889ea/scout/365_euro/Kevin-Malcuit-Scouting-Report,https://fbref.com/en/players/d6a889ea/scout/1896/Kevin-Malcuit-Scouting-Report,https://fbref.com/en/players/d6a889ea/scout/1632/Kevin-Malcuit-Scouting-Report,,,,,,
Daniel Maldini,ITA,MF,Milan,19,2001,8,2,148,1.6,1,0,1,0,0,1,0,0.61,0.0,0.61,0.61,0.61,0.2,0.2,0.1,0.3,0.14,0.04,0.18,0.14,0.18,https://fbref.com/en/players/801831fe/,https://fbref.com/en/players/801831fe/all_comps/Daniel-Maldini-Stats---All-Competitions,https://fbref.com/en/players/801831fe/dom_lg/Daniel-Maldini-Domestic-League-Stats,https://fbref.com/en/players/801831fe/dom_cup/Daniel-Maldini-Domestic-Cup-Stats,https://fbref.com/en/players/801831fe/intl_cup/Daniel-Maldini-International-Cup-Stats,,,,,
Youssef Maleh,ITA,MF,Fiorentina,22,1998,28,11,1019,11.3,2,2,2,0,0,5,0,0.18,0.18,0.35,0.18,0.35,2.3,2.3,1.0,3.4,0.21,0.09,0.3,0.21,0.3,https://fbref.com/en/players/4c8845f7/,https://fbref.com/en/players/4c8845f7/scout/365_euro/Youssef-Maleh-Scouting-Report,https://fbref.com/en/players/4c8845f7/scout/11222/Youssef-Maleh-Scouting-Report,,,,,,,
Ruslan Malinovskyi,UKR,FWMF,Atalanta,28,1993,30,19,1592,17.7,6,5,6,0,0,10,0,0.34,0.28,0.62,0.34,0.62,3.7,3.7,6.2,9.9,0.21,0.35,0.56,0.21,0.56,https://fbref.com/en/players/48d5bd33/,https://fbref.com/en/players/48d5bd33/scout/365_euro/Ruslan-Malinovskyi-Scouting-Report,https://fbref.com/en/players/48d5bd33/scout/11222/Ruslan-Malinovskyi-Scouting-Report,https://fbref.com/en/players/48d5bd33/scout/10730/Ruslan-Malinovskyi-Scouting-Report,https://fbref.com/en/players/48d5bd33/scout/3260/Ruslan-Malinovskyi-Scouting-Report,,,,,
Rey Manaj,ALB,FW,Spezia,24,1997,30,19,1768,19.6,5,0,3,2,3,9,0,0.25,0.0,0.25,0.15,0.15,7.1,4.8,1.4,6.3,0.36,0.07,0.44,0.25,0.32,https://fbref.com/en/players/7703afb6/,https://fbref.com/en/players/7703afb6/scout/365_euro/Rey-Manaj-Scouting-Report,https://fbref.com/en/players/7703afb6/scout/11222/Rey-Manaj-Scouting-Report,,,,,,,
Gianluca Mancini,ITA,DF,Roma,25,1996,33,33,2878,32.0,0,0,0,0,0,16,1,0.0,0.0,0.0,0.0,0.0,2.3,2.2,0.5,2.7,0.07,0.01,0.09,0.07,0.08,https://fbref.com/en/players/5aa53281/,https://fbref.com/en/players/5aa53281/scout/365_euro/Gianluca-Mancini-Scouting-Report,https://fbref.com/en/players/5aa53281/scout/11222/Gianluca-Mancini-Scouting-Report,https://fbref.com/en/players/5aa53281/scout/10730/Gianluca-Mancini-Scouting-Report,https://fbref.com/en/players/5aa53281/scout/3260/Gianluca-Mancini-Scouting-Report,https://fbref.com/en/players/5aa53281/scout/1896/Gianluca-Mancini-Scouting-Report,https://fbref.com/en/players/5aa53281/scout/1640/Gianluca-Mancini-Scouting-Report,,,
Leonardo Mancuso,ITA,FW,Empoli,29,1992,8,5,425,4.7,1,0,1,0,0,0,0,0.21,0.0,0.21,0.21,0.21,2.2,2.2,0.4,2.7,0.47,0.09,0.56,0.47,0.56,https://fbref.com/en/players/311027cb/,https://fbref.com/en/players/311027cb/all_comps/Leonardo-Mancuso-Stats---All-Competitions,https://fbref.com/en/players/311027cb/dom_lg/Leonardo-Mancuso-Domestic-League-Stats,https://fbref.com/en/players/311027cb/dom_cup/Leonardo-Mancuso-Domestic-Cup-Stats,,,,,,
Rolando Mandragora,ITA,MF,Torino,24,1997,21,16,1319,14.7,0,2,0,0,0,7,1,0.0,0.14,0.14,0.0,0.14,1.2,1.2,2.7,3.9,0.08,0.19,0.27,0.08,0.27,https://fbref.com/en/players/c7259b83/,https://fbref.com/en/players/c7259b83/scout/365_euro/Rolando-Mandragora-Scouting-Report,https://fbref.com/en/players/c7259b83/scout/11222/Rolando-Mandragora-Scouting-Report,https://fbref.com/en/players/c7259b83/scout/10730/Rolando-Mandragora-Scouting-Report,https://fbref.com/en/players/c7259b83/scout/3260/Rolando-Mandragora-Scouting-Report,https://fbref.com/en/players/c7259b83/scout/1896/Rolando-Mandragora-Scouting-Report,https://fbref.com/en/players/c7259b83/scout/1640/Rolando-Mandragora-Scouting-Report,,,
Kostas Manolas,GRE,DF,Napoli,30,1991,4,3,313,3.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/c707411f/,https://fbref.com/en/players/c707411f/scout/365_euro/Kostas-Manolas-Scouting-Report,https://fbref.com/en/players/c707411f/scout/10730/Kostas-Manolas-Scouting-Report,https://fbref.com/en/players/c707411f/scout/3260/Kostas-Manolas-Scouting-Report,https://fbref.com/en/players/c707411f/scout/1896/Kostas-Manolas-Scouting-Report,https://fbref.com/en/players/c707411f/scout/1640/Kostas-Manolas-Scouting-Report,,,,
Riccardo Marchizza,ITA,DF,Empoli,23,1998,19,16,1346,15.0,0,1,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07,0.3,0.3,1.6,1.9,0.02,0.1,0.12,0.02,0.12,https://fbref.com/en/players/91d0fabf/,https://fbref.com/en/players/91d0fabf/scout/365_euro/Riccardo-Marchizza-Scouting-Report,https://fbref.com/en/players/91d0fabf/scout/11222/Riccardo-Marchizza-Scouting-Report,https://fbref.com/en/players/91d0fabf/scout/10730/Riccardo-Marchizza-Scouting-Report,,,,,,
Gian Marco Ferrari,ITA,DF,Sassuolo,29,1992,36,35,3124,34.7,1,0,1,0,0,6,1,0.03,0.0,0.03,0.03,0.03,1.9,1.9,0.4,2.3,0.05,0.01,0.07,0.05,0.07,https://fbref.com/en/players/8650af85/,https://fbref.com/en/players/8650af85/scout/365_euro/Gian-Marco-Ferrari-Scouting-Report,https://fbref.com/en/players/8650af85/scout/11222/Gian-Marco-Ferrari-Scouting-Report,https://fbref.com/en/players/8650af85/scout/10730/Gian-Marco-Ferrari-Scouting-Report,https://fbref.com/en/players/8650af85/scout/3260/Gian-Marco-Ferrari-Scouting-Report,https://fbref.com/en/players/8650af85/scout/1896/Gian-Marco-Ferrari-Scouting-Report,https://fbref.com/en/players/8650af85/scout/1640/Gian-Marco-Ferrari-Scouting-Report,,,
Davide Marfella,ITA,GK,Napoli,21,1999,1,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/880fcdbb/,https://fbref.com/en/players/880fcdbb/matchlogs/2021-2022/misc/Davide-Marfella-Match-Logs,,,,,,,,
Pablo Marí,ESP,DF,Udinese,27,1993,15,15,1341,14.9,2,0,2,0,0,2,1,0.13,0.0,0.13,0.13,0.13,0.6,0.6,0.8,1.4,0.04,0.05,0.09,0.04,0.09,https://fbref.com/en/players/aa54ec6f/,https://fbref.com/en/players/aa54ec6f/scout/365_euro/Pablo-Mari-Scouting-Report,https://fbref.com/en/players/aa54ec6f/scout/11222/Pablo-Mari-Scouting-Report,https://fbref.com/en/players/aa54ec6f/scout/10728/Pablo-Mari-Scouting-Report,,,,,,
Răzvan Marin,ROU,MF,Cagliari,25,1996,36,31,2816,31.3,0,5,0,0,0,6,1,0.0,0.16,0.16,0.0,0.16,1.7,1.7,6.1,7.9,0.06,0.2,0.25,0.06,0.25,https://fbref.com/en/players/7fac99d4/,https://fbref.com/en/players/7fac99d4/scout/365_euro/Razvan-Marin-Scouting-Report,https://fbref.com/en/players/7fac99d4/scout/11222/Razvan-Marin-Scouting-Report,https://fbref.com/en/players/7fac99d4/scout/10730/Razvan-Marin-Scouting-Report,,,,,,
Lucas Martínez Quarta,ARG,DF,Fiorentina,25,1996,20,16,1431,15.9,1,0,1,0,0,8,0,0.06,0.0,0.06,0.06,0.06,1.2,1.2,0.4,1.6,0.07,0.02,0.1,0.07,0.1,https://fbref.com/en/players/3ec3c1c9/,https://fbref.com/en/players/3ec3c1c9/scout/365_euro/Lucas-Martinez-Quarta-Scouting-Report,https://fbref.com/en/players/3ec3c1c9/scout/11222/Lucas-Martinez-Quarta-Scouting-Report,https://fbref.com/en/players/3ec3c1c9/scout/10730/Lucas-Martinez-Quarta-Scouting-Report,,,,,,
Lautaro Martínez,ARG,FW,Inter,23,1997,35,28,2282,25.4,21,3,18,3,6,6,0,0.83,0.12,0.95,0.71,0.83,19.6,15.5,3.5,19.0,0.77,0.14,0.91,0.61,0.75,https://fbref.com/en/players/f7036e1c/,https://fbref.com/en/players/f7036e1c/scout/365_euro/Lautaro-Martinez-Scouting-Report,https://fbref.com/en/players/f7036e1c/scout/11222/Lautaro-Martinez-Scouting-Report,https://fbref.com/en/players/f7036e1c/scout/10730/Lautaro-Martinez-Scouting-Report,https://fbref.com/en/players/f7036e1c/scout/3260/Lautaro-Martinez-Scouting-Report,https://fbref.com/en/players/f7036e1c/scout/1896/Lautaro-Martinez-Scouting-Report,,,,
Adam Marušić,MNE,DF,Lazio,28,1992,33,30,2721,30.2,1,0,1,0,0,6,1,0.03,0.0,0.03,0.03,0.03,0.2,0.2,0.5,0.7,0.01,0.02,0.02,0.01,0.02,https://fbref.com/en/players/d4535821/,https://fbref.com/en/players/d4535821/scout/365_euro/Adam-Marusic-Scouting-Report,https://fbref.com/en/players/d4535821/scout/11222/Adam-Marusic-Scouting-Report,https://fbref.com/en/players/d4535821/scout/10730/Adam-Marusic-Scouting-Report,https://fbref.com/en/players/d4535821/scout/3260/Adam-Marusic-Scouting-Report,https://fbref.com/en/players/d4535821/scout/1896/Adam-Marusic-Scouting-Report,https://fbref.com/en/players/d4535821/scout/1640/Adam-Marusic-Scouting-Report,,,
Andrea Masiello,ITA,DF,Genoa,35,1986,7,6,515,5.7,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.0,0.01,0.01,0.01,https://fbref.com/en/players/e0314d87/,https://fbref.com/en/players/e0314d87/scout/365_euro/Andrea-Masiello-Scouting-Report,https://fbref.com/en/players/e0314d87/scout/11222/Andrea-Masiello-Scouting-Report,https://fbref.com/en/players/e0314d87/scout/10730/Andrea-Masiello-Scouting-Report,https://fbref.com/en/players/e0314d87/scout/3260/Andrea-Masiello-Scouting-Report,https://fbref.com/en/players/e0314d87/scout/1896/Andrea-Masiello-Scouting-Report,https://fbref.com/en/players/e0314d87/scout/1640/Andrea-Masiello-Scouting-Report,,,
Aleš Matějů,CZE,DF,Venezia,25,1996,9,9,727,8.1,0,1,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12,0.2,0.2,1.0,1.1,0.02,0.12,0.14,0.02,0.14,https://fbref.com/en/players/deb748c9/,https://fbref.com/en/players/deb748c9/scout/365_euro/Ales-Mateju-Scouting-Report,https://fbref.com/en/players/deb748c9/scout/11222/Ales-Mateju-Scouting-Report,https://fbref.com/en/players/deb748c9/scout/3260/Ales-Mateju-Scouting-Report,,,,,,
Borja Mayoral,ESP,FWDF,Roma,24,1997,5,1,96,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,https://fbref.com/en/players/64e8ed6d/,https://fbref.com/en/players/64e8ed6d/scout/365_euro/Borja-Mayoral-Scouting-Report,https://fbref.com/en/players/64e8ed6d/scout/11174/Borja-Mayoral-Scouting-Report,https://fbref.com/en/players/64e8ed6d/scout/10730/Borja-Mayoral-Scouting-Report,https://fbref.com/en/players/64e8ed6d/scout/3239/Borja-Mayoral-Scouting-Report,https://fbref.com/en/players/64e8ed6d/scout/1886/Borja-Mayoral-Scouting-Report,,,,
Pasquale Mazzocchi,ITA,DF,Venezia,26,1995,18,15,1243,13.8,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.8,1.4,0.04,0.06,0.1,0.04,0.1,https://fbref.com/en/players/eb0ec070/,https://fbref.com/en/players/eb0ec070/scout/365_euro/Pasquale-Mazzocchi-Scouting-Report,https://fbref.com/en/players/eb0ec070/scout/11222/Pasquale-Mazzocchi-Scouting-Report,,,,,,,
Pasquale Mazzocchi,ITA,DF,Salernitana,26,1995,15,15,1269,14.1,0,2,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,0.2,0.2,1.6,1.8,0.01,0.12,0.13,0.01,0.13,https://fbref.com/en/players/eb0ec070/,https://fbref.com/en/players/eb0ec070/scout/365_euro/Pasquale-Mazzocchi-Scouting-Report,https://fbref.com/en/players/eb0ec070/scout/11222/Pasquale-Mazzocchi-Scouting-Report,,,,,,,
Ibrahima Mbaye,SEN,DF,Bologna,26,1994,6,1,108,1.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/cfbf9881/,https://fbref.com/en/players/cfbf9881/scout/3260/Ibrahima-Mbaye-Scouting-Report,https://fbref.com/en/players/cfbf9881/scout/1896/Ibrahima-Mbaye-Scouting-Report,https://fbref.com/en/players/cfbf9881/scout/1640/Ibrahima-Mbaye-Scouting-Report,,,,,,
Weston McKennie,USA,MF,Juventus,22,1998,21,15,1369,15.2,3,0,3,0,0,1,0,0.2,0.0,0.2,0.2,0.2,2.3,2.3,1.2,3.4,0.15,0.08,0.23,0.15,0.23,https://fbref.com/en/players/01c3aff5/,https://fbref.com/en/players/01c3aff5/scout/365_euro/Weston-McKennie-Scouting-Report,https://fbref.com/en/players/01c3aff5/scout/11222/Weston-McKennie-Scouting-Report,https://fbref.com/en/players/01c3aff5/scout/10730/Weston-McKennie-Scouting-Report,https://fbref.com/en/players/01c3aff5/scout/3248/Weston-McKennie-Scouting-Report,https://fbref.com/en/players/01c3aff5/scout/2109/Weston-McKennie-Scouting-Report,https://fbref.com/en/players/01c3aff5/scout/1634/Weston-McKennie-Scouting-Report,,,
Gary Medel,CHI,DF,Bologna,33,1987,33,32,2823,31.4,0,1,0,0,0,10,1,0.0,0.03,0.03,0.0,0.03,0.3,0.3,0.0,0.3,0.01,0.0,0.01,0.01,0.01,https://fbref.com/en/players/563a68ad/,https://fbref.com/en/players/563a68ad/scout/365_euro/Gary-Medel-Scouting-Report,https://fbref.com/en/players/563a68ad/scout/11222/Gary-Medel-Scouting-Report,https://fbref.com/en/players/563a68ad/scout/10730/Gary-Medel-Scouting-Report,https://fbref.com/en/players/563a68ad/scout/3260/Gary-Medel-Scouting-Report,,,,,
Filippo Melegoni,ITA,FWMF,Genoa,22,1999,25,10,980,10.9,1,0,1,0,0,1,0,0.09,0.0,0.09,0.09,0.09,0.6,0.6,1.5,2.1,0.06,0.14,0.2,0.06,0.2,https://fbref.com/en/players/6604165d/,https://fbref.com/en/players/6604165d/scout/365_euro/Filippo-Melegoni-Scouting-Report,https://fbref.com/en/players/6604165d/scout/11222/Filippo-Melegoni-Scouting-Report,,,,,,,
Arthur Melo,BRA,MF,Juventus,24,1996,20,11,962,10.7,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.4,0.01,0.03,0.04,0.01,0.04,https://fbref.com/en/players/48b3dd60/,https://fbref.com/en/players/48b3dd60/scout/365_euro/Arthur-Melo-Scouting-Report,https://fbref.com/en/players/48b3dd60/scout/11222/Arthur-Melo-Scouting-Report,https://fbref.com/en/players/48b3dd60/scout/10730/Arthur-Melo-Scouting-Report,https://fbref.com/en/players/48b3dd60/scout/3239/Arthur-Melo-Scouting-Report,https://fbref.com/en/players/48b3dd60/scout/1886/Arthur-Melo-Scouting-Report,,,,
Alex Meret,ITA,GK,Napoli,24,1997,7,7,619,6.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/9413b19f/,https://fbref.com/en/players/9413b19f/scout/365_euro/Alex-Meret-Scouting-Report,https://fbref.com/en/players/9413b19f/scout/11222/Alex-Meret-Scouting-Report,https://fbref.com/en/players/9413b19f/scout/10730/Alex-Meret-Scouting-Report,https://fbref.com/en/players/9413b19f/scout/3260/Alex-Meret-Scouting-Report,https://fbref.com/en/players/9413b19f/scout/1896/Alex-Meret-Scouting-Report,https://fbref.com/en/players/9413b19f/scout/1640/Alex-Meret-Scouting-Report,,,
Yıldırım Mert Çetin,TUR,DF,Hellas Verona,24,1997,2,0,46,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/c730da00/,https://fbref.com/en/players/c730da00/all_comps/Yildirim-Mert-Cetin-Stats---All-Competitions,https://fbref.com/en/players/c730da00/dom_lg/Yildirim-Mert-Cetin-Domestic-League-Stats,https://fbref.com/en/players/c730da00/dom_cup/Yildirim-Mert-Cetin-Domestic-Cup-Stats,https://fbref.com/en/players/c730da00/nat_tm/Yildirim-Mert-Cetin-National-Team-Stats,,,,,
Dries Mertens,BEL,FWMF,Napoli,34,1987,30,16,1384,15.4,11,1,10,1,1,2,0,0.72,0.07,0.78,0.65,0.72,4.6,3.8,2.4,6.2,0.3,0.15,0.45,0.25,0.4,https://fbref.com/en/players/89b2c8a9/,https://fbref.com/en/players/89b2c8a9/scout/365_euro/Dries-Mertens-Scouting-Report,https://fbref.com/en/players/89b2c8a9/scout/11222/Dries-Mertens-Scouting-Report,https://fbref.com/en/players/89b2c8a9/scout/10730/Dries-Mertens-Scouting-Report,https://fbref.com/en/players/89b2c8a9/scout/3260/Dries-Mertens-Scouting-Report,https://fbref.com/en/players/89b2c8a9/scout/1896/Dries-Mertens-Scouting-Report,https://fbref.com/en/players/89b2c8a9/scout/1640/Dries-Mertens-Scouting-Report,,,
Junior Messias,BRA,FWMF,Milan,30,1991,26,14,1428,15.9,5,2,5,0,0,2,0,0.32,0.13,0.44,0.32,0.44,3.6,3.6,2.0,5.6,0.22,0.13,0.35,0.22,0.35,https://fbref.com/en/players/f49c4ae9/,https://fbref.com/en/players/f49c4ae9/scout/365_euro/Junior-Messias-Scouting-Report,https://fbref.com/en/players/f49c4ae9/scout/11222/Junior-Messias-Scouting-Report,https://fbref.com/en/players/f49c4ae9/scout/10730/Junior-Messias-Scouting-Report,,,,,,
Kingsley Michael,NGA,MF,Bologna,21,1999,2,1,76,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,https://fbref.com/en/players/e63e122d/,https://fbref.com/en/players/e63e122d/all_comps/Kingsley-Michael-Stats---All-Competitions,https://fbref.com/en/players/e63e122d/dom_lg/Kingsley-Michael-Domestic-League-Stats,https://fbref.com/en/players/e63e122d/dom_cup/Kingsley-Michael-Domestic-Cup-Stats,https://fbref.com/en/players/e63e122d/nat_tm/Kingsley-Michael-National-Team-Stats,,,,,
Valentin Mihaila,ROU,FWMF,Atalanta,21,2000,5,0,76,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,https://fbref.com/en/players/81a4c239/,https://fbref.com/en/players/81a4c239/scout/10730/Valentin-Mihaila-Scouting-Report,,,,,,,,
