Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference,Scouting Report 1,Scouting Report 2,Scouting Report 3,Scouting Report 4,Scouting Report 5,Scouting Report 6,Scouting Report 7
Sebastian Andersson,SWE,FW,Köln,30,1991,26,13,1257,14.0,3,1,3,0,0,3,0,0.21,0.07,0.29,0.21,0.29,4.7,4.7,1.3,6.0,0.34,0.09,0.43,0.34,0.43,https://fbref.com/en/players/b4cf5806/,https://fbref.com/en/players/b4cf5806/scout/365_euro/Sebastian-Andersson-Scouting-Report,https://fbref.com/en/players/b4cf5806/scout/11193/Sebastian-Andersson-Scouting-Report,https://fbref.com/en/players/b4cf5806/scout/10737/Sebastian-Andersson-Scouting-Report,https://fbref.com/en/players/b4cf5806/scout/3248/Sebastian-Andersson-Scouting-Report,,,
Andrés Andrade Cedeño,PAN,DF,Arminia,22,1998,17,12,1046,11.6,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,0.02,0.02,0.04,0.02,0.04,https://fbref.com/en/players/6ea23758/,https://fbref.com/en/players/6ea23758/scout/365_euro/Andres-Andrade-Cedeno-Scouting-Report,https://fbref.com/en/players/6ea23758/scout/11193/Andres-Andrade-Cedeno-Scouting-Report,,,,,
Fredrik André Bjørkan,NOR,DF,Hertha BSC,22,1998,9,2,353,3.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,https://fbref.com/en/players/3724baa1/,https://fbref.com/en/players/3724baa1/all_comps/Fredrik-Andre-Bjorkan-Stats---All-Competitions,https://fbref.com/en/players/3724baa1/dom_lg/Fredrik-Andre-Bjorkan-Domestic-League-Stats,https://fbref.com/en/players/3724baa1/intl_cup/Fredrik-Andre-Bjorkan-International-Cup-Stats,https://fbref.com/en/players/3724baa1/nat_tm/Fredrik-Andre-Bjorkan-National-Team-Stats,,,
Robert Andrich,GER,MF,Leverkusen,26,1994,26,21,1817,20.2,4,2,4,0,0,5,1,0.2,0.1,0.3,0.2,0.3,3.2,3.2,0.9,4.1,0.16,0.05,0.2,0.16,0.2,https://fbref.com/en/players/e0b113a7/,https://fbref.com/en/players/e0b113a7/scout/365_euro/Robert-Andrich-Scouting-Report,https://fbref.com/en/players/e0b113a7/scout/11193/Robert-Andrich-Scouting-Report,https://fbref.com/en/players/e0b113a7/scout/10737/Robert-Andrich-Scouting-Report,https://fbref.com/en/players/e0b113a7/scout/3248/Robert-Andrich-Scouting-Report,,,
Angeliño,ESP,DF,RB Leipzig,24,1997,29,26,2298,25.5,2,5,2,0,0,3,0,0.08,0.2,0.27,0.08,0.27,1.4,1.4,5.9,7.3,0.06,0.23,0.29,0.06,0.29,https://fbref.com/en/players/30941e96/,https://fbref.com/en/players/30941e96/scout/365_euro/Angelino-Scouting-Report,https://fbref.com/en/players/30941e96/scout/11193/Angelino-Scouting-Report,https://fbref.com/en/players/30941e96/scout/10737/Angelino-Scouting-Report,https://fbref.com/en/players/30941e96/scout/3248/Angelino-Scouting-Report,,,
Waldemar Anton,GER,DF,Stuttgart,25,1996,29,29,2595,28.8,2,1,2,0,0,6,1,0.07,0.03,0.1,0.07,0.1,1.7,1.7,1.5,3.2,0.06,0.05,0.11,0.06,0.11,https://fbref.com/en/players/5e66fa06/,https://fbref.com/en/players/5e66fa06/scout/365_euro/Waldemar-Anton-Scouting-Report,https://fbref.com/en/players/5e66fa06/scout/11193/Waldemar-Anton-Scouting-Report,https://fbref.com/en/players/5e66fa06/scout/10737/Waldemar-Anton-Scouting-Report,https://fbref.com/en/players/5e66fa06/scout/2109/Waldemar-Anton-Scouting-Report,https://fbref.com/en/players/5e66fa06/scout/1634/Waldemar-Anton-Scouting-Report,,
Christopher Antwi-Adjei,GHA,FWMF,Bochum,27,1994,25,12,1130,12.6,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,2.5,2.5,0.9,3.4,0.2,0.07,0.27,0.2,0.27,https://fbref.com/en/players/0a3f6cde/,https://fbref.com/en/players/0a3f6cde/scout/365_euro/Christopher-Antwi-Adjei-Scouting-Report,https://fbref.com/en/players/0a3f6cde/scout/11193/Christopher-Antwi-Adjei-Scouting-Report,https://fbref.com/en/players/0a3f6cde/scout/3248/Christopher-Antwi-Adjei-Scouting-Report,,,,
Charles Aránguiz,CHI,MF,Leverkusen,32,1989,26,16,1578,17.5,1,4,1,0,0,2,0,0.06,0.23,0.29,0.06,0.29,1.6,1.6,1.7,3.3,0.09,0.09,0.19,0.09,0.19,https://fbref.com/en/players/56413b1f/,https://fbref.com/en/players/56413b1f/scout/365_euro/Charles-Aranguiz-Scouting-Report,https://fbref.com/en/players/56413b1f/scout/11193/Charles-Aranguiz-Scouting-Report,https://fbref.com/en/players/56413b1f/scout/10737/Charles-Aranguiz-Scouting-Report,https://fbref.com/en/players/56413b1f/scout/3248/Charles-Aranguiz-Scouting-Report,https://fbref.com/en/players/56413b1f/scout/2109/Charles-Aranguiz-Scouting-Report,https://fbref.com/en/players/56413b1f/scout/1634/Charles-Aranguiz-Scouting-Report,
Maximilian Arnold,GER,MF,Wolfsburg,27,1994,34,34,2994,33.3,4,2,4,0,0,4,0,0.12,0.06,0.18,0.12,0.18,1.5,1.5,4.7,6.3,0.05,0.14,0.19,0.05,0.19,https://fbref.com/en/players/86e119e0/,https://fbref.com/en/players/86e119e0/scout/365_euro/Maximilian-Arnold-Scouting-Report,https://fbref.com/en/players/86e119e0/scout/11193/Maximilian-Arnold-Scouting-Report,https://fbref.com/en/players/86e119e0/scout/10737/Maximilian-Arnold-Scouting-Report,https://fbref.com/en/players/86e119e0/scout/3248/Maximilian-Arnold-Scouting-Report,https://fbref.com/en/players/86e119e0/scout/2109/Maximilian-Arnold-Scouting-Report,https://fbref.com/en/players/86e119e0/scout/1634/Maximilian-Arnold-Scouting-Report,
Takuma Asano,JPN,FWMF,Bochum,26,1994,27,20,1608,17.9,3,4,3,0,0,1,0,0.17,0.22,0.39,0.17,0.39,3.5,3.5,2.4,5.9,0.2,0.13,0.33,0.2,0.33,https://fbref.com/en/players/13ddc856/,https://fbref.com/en/players/13ddc856/scout/365_euro/Takuma-Asano-Scouting-Report,https://fbref.com/en/players/13ddc856/scout/11193/Takuma-Asano-Scouting-Report,https://fbref.com/en/players/13ddc856/scout/2109/Takuma-Asano-Scouting-Report,https://fbref.com/en/players/13ddc856/scout/1634/Takuma-Asano-Scouting-Report,,,
Santiago Ascacíbar,ARG,MF,Hertha BSC,24,1997,28,27,2375,26.4,0,1,0,0,0,5,0,0.0,0.04,0.04,0.0,0.04,1.2,1.2,0.3,1.5,0.04,0.01,0.06,0.04,0.06,https://fbref.com/en/players/e26fcca3/,https://fbref.com/en/players/e26fcca3/scout/365_euro/Santiago-Ascacibar-Scouting-Report,https://fbref.com/en/players/e26fcca3/scout/11193/Santiago-Ascacibar-Scouting-Report,https://fbref.com/en/players/e26fcca3/scout/10737/Santiago-Ascacibar-Scouting-Report,https://fbref.com/en/players/e26fcca3/scout/3248/Santiago-Ascacibar-Scouting-Report,https://fbref.com/en/players/e26fcca3/scout/2109/Santiago-Ascacibar-Scouting-Report,https://fbref.com/en/players/e26fcca3/scout/1634/Santiago-Ascacibar-Scouting-Report,
Fisnik Asllani,KVX,MFFW,Hoffenheim,18,2002,2,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/35f67a30/,https://fbref.com/en/players/35f67a30/matchlogs/2021-2022/passing/Fisnik-Asllani-Match-Logs,,,,,,
Simon Asta,GER,DF,Greuther Fürth,20,2001,13,9,783,8.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,https://fbref.com/en/players/dfc85b89/,https://fbref.com/en/players/dfc85b89/scout/365_euro/Simon-Asta-Scouting-Report,https://fbref.com/en/players/dfc85b89/scout/11193/Simon-Asta-Scouting-Report,,,,,
Taiwo Awoniyi,NGA,FW,Union Berlin,23,1997,31,29,2174,24.2,15,1,13,2,2,1,0,0.62,0.04,0.66,0.54,0.58,14.0,12.4,2.1,14.5,0.58,0.09,0.66,0.51,0.6,https://fbref.com/en/players/e5478b87/,https://fbref.com/en/players/e5478b87/scout/365_euro/Taiwo-Awoniyi-Scouting-Report,https://fbref.com/en/players/e5478b87/scout/11193/Taiwo-Awoniyi-Scouting-Report,https://fbref.com/en/players/e5478b87/scout/10737/Taiwo-Awoniyi-Scouting-Report,https://fbref.com/en/players/e5478b87/scout/3248/Taiwo-Awoniyi-Scouting-Report,,,
Sardar Azmoun,IRN,FWMF,Leverkusen,26,1995,9,4,359,4.0,1,1,1,0,0,0,0,0.25,0.25,0.5,0.25,0.5,2.3,2.3,0.6,2.9,0.58,0.14,0.72,0.58,0.72,https://fbref.com/en/players/10549b49/,https://fbref.com/en/players/10549b49/scout/365_euro/Sardar-Azmoun-Scouting-Report,,,,,,
Mitchel Bakker,NED,DF,Leverkusen,21,2000,25,19,1822,20.2,0,4,0,0,0,6,0,0.0,0.2,0.2,0.0,0.2,0.5,0.5,1.1,1.6,0.02,0.06,0.08,0.02,0.08,https://fbref.com/en/players/a8567629/,https://fbref.com/en/players/a8567629/scout/365_euro/Mitchel-Bakker-Scouting-Report,https://fbref.com/en/players/a8567629/scout/11193/Mitchel-Bakker-Scouting-Report,https://fbref.com/en/players/a8567629/scout/10732/Mitchel-Bakker-Scouting-Report,,,,
Ridle Baku,GER,DFFW,Wolfsburg,23,1998,34,28,2446,27.2,3,5,3,0,0,4,0,0.11,0.18,0.29,0.11,0.29,2.2,2.2,4.8,7.0,0.08,0.18,0.26,0.08,0.26,https://fbref.com/en/players/442b56fa/,https://fbref.com/en/players/442b56fa/scout/365_euro/Ridle-Baku-Scouting-Report,https://fbref.com/en/players/442b56fa/scout/11193/Ridle-Baku-Scouting-Report,https://fbref.com/en/players/442b56fa/scout/10737/Ridle-Baku-Scouting-Report,https://fbref.com/en/players/442b56fa/scout/3248/Ridle-Baku-Scouting-Report,https://fbref.com/en/players/442b56fa/scout/2109/Ridle-Baku-Scouting-Report,,
Aymen Barkok,MAR,MFFW,Eint Frankfurt,23,1998,5,2,160,1.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.01,0.03,0.02,0.03,https://fbref.com/en/players/a2a85828/,https://fbref.com/en/players/a2a85828/scout/10737/Aymen-Barkok-Scouting-Report,https://fbref.com/en/players/a2a85828/scout/2109/Aymen-Barkok-Scouting-Report,,,,,
Leandro Barreiro Martins,LUX,MF,Mainz 05,21,2000,31,20,1789,19.9,1,2,1,0,0,3,0,0.05,0.1,0.15,0.05,0.15,2.4,2.4,2.1,4.5,0.12,0.1,0.23,0.12,0.23,https://fbref.com/en/players/00242b75/,https://fbref.com/en/players/00242b75/scout/365_euro/Leandro-Barreiro-Martins-Scouting-Report,https://fbref.com/en/players/00242b75/scout/11193/Leandro-Barreiro-Martins-Scouting-Report,https://fbref.com/en/players/00242b75/scout/10737/Leandro-Barreiro-Martins-Scouting-Report,https://fbref.com/en/players/00242b75/scout/3248/Leandro-Barreiro-Martins-Scouting-Report,,,
Jacob Barrett Laursen,DEN,DF,Arminia,26,1994,24,20,1632,18.1,2,0,2,0,0,1,0,0.11,0.0,0.11,0.11,0.11,0.3,0.3,0.5,0.8,0.01,0.03,0.04,0.01,0.04,https://fbref.com/en/players/c0d3bd23/,https://fbref.com/en/players/c0d3bd23/scout/365_euro/Jacob-Barrett-Laursen-Scouting-Report,https://fbref.com/en/players/c0d3bd23/scout/11193/Jacob-Barrett-Laursen-Scouting-Report,https://fbref.com/en/players/c0d3bd23/scout/10737/Jacob-Barrett-Laursen-Scouting-Report,,,,
Abdourahmane Barry,FRA,DF,Greuther Fürth,21,2000,8,1,210,2.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.02,0.05,0.07,0.02,0.07,https://fbref.com/en/players/8df328f4/,https://fbref.com/en/players/8df328f4/all_comps/Abdourahmane-Barry-Stats---All-Competitions,https://fbref.com/en/players/8df328f4/dom_lg/Abdourahmane-Barry-Domestic-League-Stats,https://fbref.com/en/players/8df328f4/dom_cup/Abdourahmane-Barry-Domestic-Cup-Stats,,,,
Maximilian Bauer,GER,DF,Greuther Fürth,21,2000,26,18,1690,18.8,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.02,0.0,0.02,0.02,0.02,https://fbref.com/en/players/44a20f0c/,https://fbref.com/en/players/44a20f0c/scout/365_euro/Maximilian-Bauer-Scouting-Report,https://fbref.com/en/players/44a20f0c/scout/11193/Maximilian-Bauer-Scouting-Report,,,,,
Oliver Baumann,GER,GK,Hoffenheim,31,1990,33,33,2970,33.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/47064058/,https://fbref.com/en/players/47064058/scout/365_euro/Oliver-Baumann-Scouting-Report,https://fbref.com/en/players/47064058/scout/11193/Oliver-Baumann-Scouting-Report,https://fbref.com/en/players/47064058/scout/10737/Oliver-Baumann-Scouting-Report,https://fbref.com/en/players/47064058/scout/3248/Oliver-Baumann-Scouting-Report,https://fbref.com/en/players/47064058/scout/2109/Oliver-Baumann-Scouting-Report,https://fbref.com/en/players/47064058/scout/1634/Oliver-Baumann-Scouting-Report,
Timo Baumgartl,GER,DF,Union Berlin,25,1996,25,25,2166,24.1,1,2,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,1.4,1.4,0.5,1.9,0.06,0.02,0.08,0.06,0.08,https://fbref.com/en/players/bd7d2e6d/,https://fbref.com/en/players/bd7d2e6d/scout/365_euro/Timo-Baumgartl-Scouting-Report,https://fbref.com/en/players/bd7d2e6d/scout/11193/Timo-Baumgartl-Scouting-Report,https://fbref.com/en/players/bd7d2e6d/scout/2109/Timo-Baumgartl-Scouting-Report,https://fbref.com/en/players/bd7d2e6d/scout/1634/Timo-Baumgartl-Scouting-Report,,,
Julian Baumgartlinger,AUT,MF,Leverkusen,33,1988,6,1,88,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/69374ff5/,https://fbref.com/en/players/69374ff5/scout/10737/Julian-Baumgartlinger-Scouting-Report,https://fbref.com/en/players/69374ff5/scout/3248/Julian-Baumgartlinger-Scouting-Report,https://fbref.com/en/players/69374ff5/scout/2109/Julian-Baumgartlinger-Scouting-Report,https://fbref.com/en/players/69374ff5/scout/1634/Julian-Baumgartlinger-Scouting-Report,,,
Christoph Baumgartner,AUT,MFFW,Hoffenheim,21,1999,29,23,1888,21.0,7,2,7,0,0,5,0,0.33,0.1,0.43,0.33,0.43,7.4,7.4,3.2,10.6,0.35,0.15,0.51,0.35,0.51,https://fbref.com/en/players/437f2b00/,https://fbref.com/en/players/437f2b00/scout/365_euro/Christoph-Baumgartner-Scouting-Report,https://fbref.com/en/players/437f2b00/scout/11193/Christoph-Baumgartner-Scouting-Report,https://fbref.com/en/players/437f2b00/scout/10737/Christoph-Baumgartner-Scouting-Report,https://fbref.com/en/players/437f2b00/scout/3248/Christoph-Baumgartner-Scouting-Report,,,
Noah Joel Sarenren Bazee,NGA,MFFW,Augsburg,24,1996,14,1,241,2.7,1,0,1,0,0,1,0,0.37,0.0,0.37,0.37,0.37,0.7,0.7,0.2,0.9,0.25,0.08,0.33,0.25,0.33,https://fbref.com/en/players/fbbc8e15/,https://fbref.com/en/players/fbbc8e15/all_comps/Noah-Joel-Sarenren-Bazee-Stats---All-Competitions,https://fbref.com/en/players/fbbc8e15/dom_lg/Noah-Joel-Sarenren-Bazee-Domestic-League-Stats,https://fbref.com/en/players/fbbc8e15/dom_cup/Noah-Joel-Sarenren-Bazee-Domestic-Cup-Stats,,,,
Ihlas Bebou,TOG,FWDF,Hoffenheim,27,1994,28,25,2091,23.2,7,2,7,0,0,0,0,0.3,0.09,0.39,0.3,0.39,8.4,8.4,1.9,10.3,0.36,0.08,0.44,0.36,0.44,https://fbref.com/en/players/a53b661f/,https://fbref.com/en/players/a53b661f/scout/365_euro/Ihlas-Bebou-Scouting-Report,https://fbref.com/en/players/a53b661f/scout/11193/Ihlas-Bebou-Scouting-Report,https://fbref.com/en/players/a53b661f/scout/10737/Ihlas-Bebou-Scouting-Report,https://fbref.com/en/players/a53b661f/scout/3248/Ihlas-Bebou-Scouting-Report,https://fbref.com/en/players/a53b661f/scout/2109/Ihlas-Bebou-Scouting-Report,https://fbref.com/en/players/a53b661f/scout/1634/Ihlas-Bebou-Scouting-Report,
Sheraldo Becker,SUR,FWMF,Union Berlin,26,1995,28,22,1758,19.5,4,6,4,0,0,4,0,0.2,0.31,0.51,0.2,0.51,3.0,3.0,6.6,9.6,0.15,0.34,0.49,0.15,0.49,https://fbref.com/en/players/8eb55dbb/,https://fbref.com/en/players/8eb55dbb/scout/365_euro/Sheraldo-Becker-Scouting-Report,https://fbref.com/en/players/8eb55dbb/scout/11193/Sheraldo-Becker-Scouting-Report,https://fbref.com/en/players/8eb55dbb/scout/10737/Sheraldo-Becker-Scouting-Report,https://fbref.com/en/players/8eb55dbb/scout/3248/Sheraldo-Becker-Scouting-Report,,,
Kevin Behrens,GER,FW,Union Berlin,30,1991,24,2,499,5.5,2,2,2,0,0,1,0,0.36,0.36,0.72,0.36,0.72,2.7,2.7,1.9,4.6,0.49,0.34,0.83,0.49,0.83,https://fbref.com/en/players/30ae134d/,https://fbref.com/en/players/30ae134d/scout/365_euro/Kevin-Behrens-Scouting-Report,https://fbref.com/en/players/30ae134d/scout/11193/Kevin-Behrens-Scouting-Report,,,,,
Ishak Belfodil,ALG,FW,Hertha BSC,29,1992,26,17,1636,18.2,5,2,4,1,1,1,0,0.28,0.11,0.39,0.22,0.33,4.1,3.4,1.7,5.1,0.23,0.1,0.32,0.19,0.28,https://fbref.com/en/players/ff182fdc/,https://fbref.com/en/players/ff182fdc/scout/365_euro/Ishak-Belfodil-Scouting-Report,https://fbref.com/en/players/ff182fdc/scout/11193/Ishak-Belfodil-Scouting-Report,https://fbref.com/en/players/ff182fdc/scout/10737/Ishak-Belfodil-Scouting-Report,https://fbref.com/en/players/ff182fdc/scout/2109/Ishak-Belfodil-Scouting-Report,https://fbref.com/en/players/ff182fdc/scout/1634/Ishak-Belfodil-Scouting-Report,,
Stefan Bell,GER,DF,Mainz 05,29,1991,33,33,2864,31.8,2,0,2,0,0,9,0,0.06,0.0,0.06,0.06,0.06,1.5,1.5,1.6,3.1,0.05,0.05,0.1,0.05,0.1,https://fbref.com/en/players/857a5abe/,https://fbref.com/en/players/857a5abe/scout/365_euro/Stefan-Bell-Scouting-Report,https://fbref.com/en/players/857a5abe/scout/11193/Stefan-Bell-Scouting-Report,https://fbref.com/en/players/857a5abe/scout/10737/Stefan-Bell-Scouting-Report,https://fbref.com/en/players/857a5abe/scout/2109/Stefan-Bell-Scouting-Report,https://fbref.com/en/players/857a5abe/scout/1634/Stefan-Bell-Scouting-Report,,
Armel Bella Kotchap,GER,DF,Bochum,19,2001,22,20,1768,19.6,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.8,0.03,0.01,0.04,0.03,0.04,https://fbref.com/en/players/a39d11bc/,https://fbref.com/en/players/a39d11bc/scout/365_euro/Armel-Bella-Kotchap-Scouting-Report,https://fbref.com/en/players/a39d11bc/scout/11193/Armel-Bella-Kotchap-Scouting-Report,,,,,
Karim Bellarabi,GER,FWDF,Leverkusen,31,1990,16,9,683,7.6,3,2,3,0,0,2,0,0.4,0.26,0.66,0.4,0.66,2.2,2.2,1.2,3.4,0.29,0.16,0.45,0.29,0.45,https://fbref.com/en/players/bee0bab1/,https://fbref.com/en/players/bee0bab1/scout/365_euro/Karim-Bellarabi-Scouting-Report,https://fbref.com/en/players/bee0bab1/scout/11193/Karim-Bellarabi-Scouting-Report,https://fbref.com/en/players/bee0bab1/scout/10737/Karim-Bellarabi-Scouting-Report,https://fbref.com/en/players/bee0bab1/scout/3248/Karim-Bellarabi-Scouting-Report,https://fbref.com/en/players/bee0bab1/scout/2109/Karim-Bellarabi-Scouting-Report,https://fbref.com/en/players/bee0bab1/scout/1634/Karim-Bellarabi-Scouting-Report,
